setting,seed,q
large/obqa/Text sampled,82,0.8
large/obqa/Text sampled,83,0.8
large/obqa/Text sampled,84,0.8
large/obqa/Text sampled,85,0.8
large/obqa/Text sampled,86,0.8
large/obqa/Text sampled,87,0.8
large/obqa/Text sampled,88,0.8
large/obqa/Text sampled,89,0.8
large/obqa/Text sampled,90,0.8
large/obqa/Text sampled,91,0.8
large/obqa/Text sampled,92,0.8
large/obqa/Text sampled,93,0.75
large/obqa/Text sampled,94,0.8
large/obqa/Text sampled,95,0.8
large/obqa/Text sampled,96,0.8
large/obqa/Text sampled,97,0.8
large/obqa/Text sampled,98,0.8
large/obqa/Text sampled,99,0.8
large/obqa/Text sampled,100,0.8
large/obqa/Text sampled,101,0.8
large/obqa/Text sampled,102,0.8
large/obqa/Text sampled,103,0.8
large/obqa/Text sampled,104,0.75
large/obqa/Text sampled,105,0.8
large/obqa/Text sampled,106,0.75
large/obqa/Text sampled,107,0.8
large/obqa/Text sampled,108,0.8
large/obqa/Text sampled,109,0.8
large/obqa/Text sampled,110,0.8
large/obqa/Text sampled,111,0.8
large/obqa/Text sampled,112,0.85
large/obqa/Text sampled,113,0.8
large/obqa/Text sampled,114,0.75
large/obqa/Text sampled,115,0.8
large/obqa/Text sampled,116,0.8
large/obqa/Text sampled,117,0.8
large/obqa/Text sampled,118,0.8
large/obqa/Text sampled,119,0.8
large/obqa/Text sampled,120,0.8
large/obqa/Text sampled,121,0.8
large/obqa/Text sampled,122,0.8
large/obqa/Text sampled,123,0.8
large/obqa/Text sampled,124,0.8
large/obqa/Text sampled,125,0.8
large/obqa/Text sampled,126,0.8
large/obqa/Text sampled,127,0.8
large/obqa/Text sampled,128,0.8
large/obqa/Text sampled,129,0.8
large/obqa/Text sampled,130,0.8
large/obqa/Text sampled,131,0.8
large/obqa/Text sampled,132,0.8
large/obqa/Text sampled,133,0.8
large/obqa/Text sampled,134,0.8
large/obqa/Text sampled,135,0.8
large/obqa/Text sampled,136,0.8
large/obqa/Text sampled,137,0.8
large/obqa/Text sampled,138,0.8
large/obqa/Text sampled,139,0.8
large/obqa/Text sampled,140,0.8
large/obqa/Text sampled,141,0.75
large/obqa/Text sampled,142,0.8
large/obqa/Text sampled,143,0.8
large/obqa/Text sampled,144,0.75
large/obqa/Text sampled,145,0.75
large/obqa/Text sampled,146,0.8
large/obqa/Text sampled,147,0.8
large/obqa/Text sampled,148,0.8
large/obqa/Text sampled,149,0.75
large/obqa/Text sampled,150,0.8
large/obqa/Text sampled,151,0.85
large/obqa/Text sampled,152,0.8
large/obqa/Text sampled,153,0.8
large/obqa/Text sampled,154,0.8
large/obqa/Text sampled,155,0.85
large/obqa/Text sampled,156,0.8
large/obqa/Text sampled,157,0.8
large/obqa/Text sampled,158,0.8
large/obqa/Text sampled,159,0.8
large/obqa/Text sampled,160,0.8
large/obqa/Text sampled,161,0.75
large/obqa/Text sampled,162,0.8
large/obqa/Text sampled,163,0.8
large/obqa/Text sampled,164,0.8
large/obqa/Text sampled,165,0.8
large/obqa/Text sampled,166,0.75
large/obqa/Text sampled,167,0.8
large/obqa/Text sampled,168,0.8
large/obqa/Text sampled,169,0.8
large/obqa/Text sampled,170,0.8
large/obqa/Text sampled,171,0.85
large/obqa/Text sampled,172,0.8
large/obqa/Text sampled,173,0.8
large/obqa/Text sampled,174,0.8
large/obqa/Text sampled,175,0.8
large/obqa/Text sampled,176,0.8
large/obqa/Text sampled,177,0.8
large/obqa/Text sampled,178,0.8
large/obqa/Text sampled,179,0.8
large/obqa/Text sampled,180,0.8
large/obqa/Text sampled,181,0.8
large/obqa/Text sampled,182,0.8
large/obqa/Text sampled,183,0.8
large/obqa/Text sampled,184,0.8
large/obqa/Text sampled,185,0.8
large/obqa/Text sampled,186,0.8
large/obqa/Text sampled,187,0.8
large/obqa/Text sampled,188,0.8
large/obqa/Text sampled,189,0.8
large/obqa/Text sampled,190,0.8
large/obqa/Text sampled,191,0.75
large/obqa/Text sampled,192,0.8
large/obqa/Text sampled,193,0.75
large/obqa/Text sampled,194,0.75
large/obqa/Text sampled,195,0.75
large/obqa/Text sampled,196,0.8
large/obqa/Text sampled,197,0.8
large/obqa/Text sampled,198,0.8
large/obqa/Text sampled,199,0.8
large/obqa/Text sampled,200,0.8
large/arc/Text sampled,1,0.95
large/arc/Text sampled,2,0.95
large/arc/Text sampled,3,0.9
large/arc/Text sampled,4,0.9
large/arc/Text sampled,5,0.95
large/arc/Text sampled,6,0.9
large/arc/Text sampled,7,0.95
large/arc/Text sampled,8,0.9
large/arc/Text sampled,9,0.85
large/arc/Text sampled,10,0.9
large/arc/Text sampled,11,0.95
large/arc/Text sampled,12,0.95
large/arc/Text sampled,13,0.9
large/arc/Text sampled,14,0.95
large/arc/Text sampled,15,0.9
large/arc/Text sampled,16,0.95
large/arc/Text sampled,17,0.9
large/arc/Text sampled,18,0.9
large/arc/Text sampled,19,0.9
large/arc/Text sampled,20,0.95
large/arc/Text sampled,21,0.95
large/arc/Text sampled,22,0.95
large/arc/Text sampled,23,0.9
large/arc/Text sampled,24,0.95
large/arc/Text sampled,25,0.95
large/arc/Text sampled,26,0.95
large/arc/Text sampled,27,0.95
large/arc/Text sampled,28,0.95
large/arc/Text sampled,29,0.9
large/arc/Text sampled,30,0.95
large/arc/Text sampled,31,0.9
large/arc/Text sampled,32,0.95
large/arc/Text sampled,33,0.9
large/arc/Text sampled,34,0.9
large/arc/Text sampled,35,0.9
large/arc/Text sampled,36,0.9
large/arc/Text sampled,37,0.95
large/arc/Text sampled,38,0.9
large/arc/Text sampled,39,0.9
large/arc/Text sampled,40,0.9
large/arc/Text sampled,41,0.9
large/arc/Text sampled,42,0.9
large/arc/Text sampled,43,0.85
large/arc/Text sampled,44,0.95
large/arc/Text sampled,45,0.95
large/arc/Text sampled,46,0.9
large/arc/Text sampled,47,0.9
large/arc/Text sampled,48,0.95
large/arc/Text sampled,49,0.95
large/arc/Text sampled,50,0.95
large/arc/Text sampled,51,0.9
large/arc/Text sampled,52,0.9
large/arc/Text sampled,53,0.95
large/arc/Text sampled,54,0.9
large/arc/Text sampled,55,0.9
large/arc/Text sampled,56,0.95
large/arc/Text sampled,57,0.9
large/arc/Text sampled,58,0.95
large/arc/Text sampled,59,0.9
large/arc/Text sampled,60,0.95
large/arc/Text sampled,61,0.9
large/arc/Text sampled,62,0.95
large/arc/Text sampled,63,0.9
large/arc/Text sampled,64,0.9
large/arc/Text sampled,65,0.9
large/arc/Text sampled,66,0.9
large/arc/Text sampled,67,0.9
large/arc/Text sampled,68,0.9
large/arc/Text sampled,69,0.9
large/arc/Text sampled,70,0.95
large/arc/Text sampled,71,0.9
large/arc/Text sampled,72,0.95
large/arc/Text sampled,73,0.95
large/arc/Text sampled,74,0.95
large/arc/Text sampled,75,0.95
large/arc/Text sampled,76,0.9
large/arc/Text sampled,77,0.9
large/arc/Text sampled,78,0.95
large/arc/Text sampled,79,0.9
large/arc/Text sampled,80,0.9
large/arc/Text sampled,81,0.9
large/arc/Text sampled,82,0.9
large/arc/Text sampled,83,0.95
large/arc/Text sampled,84,0.9
large/arc/Text sampled,85,0.9
large/arc/Text sampled,86,0.9
large/arc/Text sampled,87,0.95
large/arc/Text sampled,88,0.9
large/arc/Text sampled,89,0.95
large/arc/Text sampled,90,0.9
large/arc/Text sampled,91,0.9
large/arc/Text sampled,92,0.95
large/arc/Text sampled,93,0.9
large/arc/Text sampled,94,0.85
large/arc/Text sampled,95,0.9
large/arc/Text sampled,96,0.9
large/arc/Text sampled,97,0.9
large/arc/Text sampled,98,0.9
large/arc/Text sampled,99,0.95
large/arc/Text sampled,100,0.9
large/arc/Text sampled,101,0.9
large/arc/Text sampled,102,0.9
large/arc/Text sampled,103,0.9
large/arc/Text sampled,104,0.95
large/arc/Text sampled,105,0.9
large/arc/Text sampled,106,0.9
large/arc/Text sampled,107,0.9
large/arc/Text sampled,108,0.9
large/arc/Text sampled,109,0.9
large/arc/Text sampled,110,0.95
large/arc/Text sampled,111,0.9
large/arc/Text sampled,112,0.9
large/arc/Text sampled,113,0.95
large/arc/Text sampled,114,0.9
large/arc/Text sampled,115,0.85
large/arc/Text sampled,116,0.9
large/arc/Text sampled,117,0.9
large/arc/Text sampled,118,0.9
large/arc/Text sampled,119,0.9
large/arc/Text sampled,120,0.9
large/arc/Text sampled,121,0.95
large/arc/Text sampled,122,0.95
large/arc/Text sampled,123,0.95
large/arc/Text sampled,124,0.9
large/arc/Text sampled,125,0.85
large/arc/Text sampled,126,0.9
large/arc/Text sampled,127,0.9
large/arc/Text sampled,128,0.9
large/arc/Text sampled,129,0.95
large/arc/Text sampled,130,0.9
large/arc/Text sampled,131,0.9
large/arc/Text sampled,132,0.85
large/arc/Text sampled,133,0.9
large/arc/Text sampled,134,0.9
large/arc/Text sampled,135,0.9
large/arc/Text sampled,136,0.95
large/arc/Text sampled,137,0.95
large/arc/Text sampled,138,0.9
large/arc/Text sampled,139,0.9
large/arc/Text sampled,140,0.9
large/arc/Text sampled,141,0.95
large/arc/Text sampled,142,0.95
large/arc/Text sampled,143,0.95
large/arc/Text sampled,144,0.9
large/arc/Text sampled,145,0.95
large/arc/Text sampled,146,0.95
large/arc/Text sampled,147,0.9
large/arc/Text sampled,148,0.9
large/arc/Text sampled,149,0.95
large/arc/Text sampled,150,0.9
large/arc/Text sampled,151,0.95
large/arc/Text sampled,152,0.95
large/arc/Text sampled,153,0.9
large/arc/Text sampled,154,0.95
large/arc/Text sampled,155,0.95
large/arc/Text sampled,156,0.9
large/arc/Text sampled,157,0.9
large/arc/Text sampled,158,0.95
large/arc/Text sampled,159,0.9
large/arc/Text sampled,160,0.9
large/arc/Text sampled,161,0.9
large/arc/Text sampled,162,0.9
large/arc/Text sampled,163,0.9
large/arc/Text sampled,164,0.9
large/arc/Text sampled,165,0.9
large/arc/Text sampled,166,0.9
large/arc/Text sampled,167,0.9
large/arc/Text sampled,168,0.95
large/arc/Text sampled,169,0.95
large/arc/Text sampled,170,0.9
large/arc/Text sampled,171,0.9
large/arc/Text sampled,172,0.95
large/arc/Text sampled,173,0.95
large/arc/Text sampled,174,0.95
large/arc/Text sampled,175,0.9
large/arc/Text sampled,176,0.9
large/arc/Text sampled,177,0.95
large/arc/Text sampled,178,0.95
large/arc/Text sampled,179,0.9
large/arc/Text sampled,180,0.95
large/arc/Text sampled,181,0.95
large/arc/Text sampled,182,0.85
large/arc/Text sampled,183,0.95
large/arc/Text sampled,184,0.95
large/arc/Text sampled,185,0.9
large/arc/Text sampled,186,0.9
large/arc/Text sampled,187,0.95
large/arc/Text sampled,188,0.85
large/arc/Text sampled,189,0.95
large/arc/Text sampled,190,0.9
large/arc/Text sampled,191,0.9
large/arc/Text sampled,192,0.9
large/arc/Text sampled,193,0.95
large/arc/Text sampled,194,0.9
large/arc/Text sampled,195,0.9
large/arc/Text sampled,196,0.95
large/arc/Text sampled,197,0.95
large/arc/Text sampled,198,0.95
large/arc/Text sampled,199,0.95
large/arc/Text sampled,200,0.9
