dataset,split,id,representative,primary,group_sha256
arc,fit,Mercury_7084210,Mercury_7084210,True,bbc623dd368bcb6b33404aa648f6b40e5d607426aaf5296952a41c1fa0998ba8
arc,fit,Mercury_7027055,Mercury_7027055,True,b0dd9278b3817bbe99b299a93f2c47c0e77c6123a074686ff38f6b3b1c79426b
arc,fit,Mercury_7075005,Mercury_7075005,True,14861cf8a0c7b14b60ffcf4a1cb84566a685380a631876c8220c2c0009d3ae77
arc,fit,NYSEDREGENTS_2004_8_3,NYSEDREGENTS_2004_8_3,True,1860e6a1c5c36d80284bd2941e693dc072fb3eb28f7663d0dac92921186619f3
arc,fit,Mercury_175858,Mercury_175858,True,70e7afc3697dfc98d4f0d11c11377a336ec1fcd3d9f95b0b13e42f1a32f89218
arc,fit,Mercury_7006178,Mercury_7006178,True,f99b4835c03dec113d34d7f1d87c43fdfa13eae44d9424fd4b24f96ecf34e1c1
arc,fit,Mercury_7145495,Mercury_7145495,True,89e0c9d1871cb4796c97ca1bfba803631770bb797a8aead453ad2b8bbf0fb8d0
arc,fit,Mercury_SC_400064,Mercury_SC_400064,True,0f78a72ad06df0a2b5275012d6bfc6dcaee2ee8870a2ec27b6124849832674ce
arc,fit,Mercury_7111248,Mercury_7111248,True,d2997de3f4ae409d4ea46b59b8338a9bab1ab3a731eb3ed6778c557c12d47c7b
arc,fit,LEAP_2011_4_10298,LEAP_2011_4_10298,True,af4bc7ef0cee7910d6edc3c3b3aa22042a703f3b14d1a75a3d5153fca88e6452
arc,fit,Mercury_7217018,Mercury_7217018,True,285495e5eb996d6fc3e1baa4c1c5ae5914560c1829eb3225466f51f8e9d077a6
arc,fit,ACTAAP_2013_5_7,ACTAAP_2013_5_7,True,d9070669acee5943b0215ecbbd5c9f9b34e9a3651d1021dab5bafa2fa76a425b
arc,fit,Mercury_SC_414080,Mercury_SC_414080,True,276024b6a91e78546aed5a7ac8a7ddf945321771a9d2bc08a0bbfb8e9ceb5b82
arc,fit,Mercury_SC_405862,Mercury_SC_405862,True,a7cded8cec8226912b6e452967a02cb33809e18be7e3334b234674baece67210
arc,fit,Mercury_7228550,Mercury_7228550,True,b78128c64f410cb1349eb80c758fcd0fb6e36b9765152c59ab5ce0e33763b59c
arc,fit,NCEOGA_2013_8_47,NCEOGA_2013_8_47,True,c51ee19d565347aa04beafc6a96020f6d3ea8789b9bc01855c3c290a5c9a7f99
arc,fit,Mercury_SC_401369,Mercury_SC_401369,True,93c0ae661e4c502634f18f599a8355af84be4ab4d1a002e2c1165bf240a9fdaa
arc,fit,Mercury_7008838,Mercury_7008838,True,120dae542e54ae571018e74c85af54a2be09d2d62cb1086ad2de033fc995bf4c
arc,fit,Mercury_7217105,Mercury_7217105,True,c61e3551670ae432bdbce85ba30ef98933d82671a436762bdc6bb90e6bc3f0ad
arc,fit,MCAS_2006_9_21,MCAS_2006_9_21,True,b4509bbb540509d3e8b08594e9cc4d77af49dadb8e1a86431fabf7306362bcc1
arc,fit,Mercury_7120785,Mercury_7120785,True,d9c5df9b7aca55d367872ae9a205d5727e4ca15d09e7d78ad6be21463b8ce36e
arc,fit,ACTAAP_2012_7_13,ACTAAP_2012_7_13,True,3afaf10a5fd9580f6bd7403b6869c51dc12982e638224fc8b9e91aa94d3d14f4
arc,fit,Mercury_SC_409578,Mercury_SC_409578,True,53f56e4b790aa40154f97188fbdb10590d7f797c28d84469c997fc9892b0ad56
arc,fit,NYSEDREGENTS_2009_4_20,NYSEDREGENTS_2009_4_20,True,7542b966497c3320b2683badaf9b72262725772b0ea9c88fd6c97291b594d4dd
arc,fit,Mercury_7081095,Mercury_7081095,True,8ecc773ae680d4e9d583cd9b7dee76a6b4cc387fe111e4b4a38a25b9de31e7c5
arc,fit,VASoL_2007_5_37,VASoL_2007_5_37,True,56efb7dcebbb15a62592a81773f55900a88ae39275a5cba91c430e5c250c1dc2
arc,fit,MSA_2013_5_44,MSA_2013_5_44,True,104a1e6dc2277364aca613fce14e0be92c7560dd3d61f626974eba6c7e4dbdda
arc,fit,Mercury_7245070,Mercury_7245070,True,4a3e918f832894e6e0b76e32bb3177870615f7ccd9ed513118d8a9171dfd0010
arc,fit,MCAS_2002_8_15,MCAS_2002_8_15,True,6dfcd3fedd2b62c55a25e68a2c7340cc6a927876e68a2465bd69b00958ea41ea
arc,fit,VASoL_2008_3_8,VASoL_2008_3_8,True,a3d0f3768c25ecd3777c098dc69d93ab5faf09377dafe6074b2e9fa1adf7ccc7
arc,fit,NYSEDREGENTS_2009_8_7,NYSEDREGENTS_2009_8_7,True,844281ae5cf588f73766eca1308bd341c2a5d35a977dbbbb5e0e054a86829616
arc,fit,Mercury_SC_407431,Mercury_SC_407431,True,3baedda39289c60a477887b650d0a487d85bb6cb29bbbc133027f3858b9c2628
arc,fit,Mercury_7083545,Mercury_7083545,True,6fa2ba9ceee30fa885877fe3df9d07f13bd74b58946844e26b3d5ad62a3413cc
arc,fit,Mercury_SC_LBS10615,Mercury_SC_LBS10615,True,08c6432595db8e10ce49881d88927cdcf3cb5154bf513850bcc2389f4150cb59
arc,fit,Mercury_182018,Mercury_182018,True,28d44e7b379634eea27a8a0eecc4b23562a082db33a44d081e93290bae200869
arc,fit,Mercury_7269168,Mercury_7269168,True,0d4822a8ec7c1c2ae0242137a7383a065662c015f3cd9d2e78604d3cf49ad6fa
arc,fit,Mercury_400761,Mercury_400761,True,e794ebde8fb6cff386524566b811b49aedac4d6d51cb06c6129f5832af674bbc
arc,fit,Mercury_SC_401220,Mercury_SC_401220,True,081e130abd8e7a771546a40a0bced43c5847343648e6674ed6b8301e5ef360d4
arc,fit,Mercury_185255,Mercury_185255,True,e2b0ca28b35043c578800c2e692913a8fd0580850e7bb4c0fed00bfcfe725ab5
arc,fit,Mercury_7115360,Mercury_7115360,True,35041b5c0e956127d913b9703e83dc7c2806fe26ad5748ac84d2ce35dd8fe0a7
arc,fit,Mercury_192745,Mercury_192745,True,ee2b4e5b9186dfa8082cbf3054f7073ec8681aed7ddc9f94533fa583502937fc
arc,fit,Mercury_7168630,Mercury_7168630,True,e8974c8d74923553b0fced5e4a73779eb788e4277bae19929039eb770256c23e
arc,fit,MCAS_2006_9_22-v1,MCAS_2006_9_22-v1,True,815bf691daa7a68b2fdf1fdbee53b2c5cab08b49300d4215a33311003b551027
arc,fit,Mercury_7038868,Mercury_7038868,True,bf2354e134b9a79aa22fd6a1b97dc3d0ac3a95cf8e49307dcb195de1f8b6e7d9
arc,fit,ACTAAP_2012_7_10,ACTAAP_2012_7_10,True,5968d9547b1dea81bfd0e34ac1a355608e6b3f9bc990c4a7ddf6f0fc7e58551b
arc,fit,MDSA_2007_8_53,MDSA_2007_8_53,True,71ba642a3aa17929a6ad426f0622423abaa545f5af3bdcf261a237460ab5e094
arc,fit,Mercury_SC_400519,Mercury_SC_400519,True,a37cd0072902916beefcb4ae403cc2c8606ff39d93318d6e50a79b0b557fec48
arc,fit,MCAS_2006_9_8,MCAS_2006_9_8,True,847685155d7d5fb67da6182b4c0e76d8403d92ef78dbeee18f7631529d583991
arc,fit,Mercury_SC_415706,Mercury_SC_415706,True,c511e8f20f827e407c220d686f231f3de44ea0fba6db32b4b84deb30be3d6fd4
arc,fit,Mercury_7282555,Mercury_7282555,True,ec377211aa30d00ce17fa8ee7b6859494d0ee37869201778cee2cb19826b5368
arc,fit,Mercury_7162925,Mercury_7162925,True,b7d3e6f5bd518107b8d0adf09be1c4c89754b628dfd800be0a5a45a6c39250d8
arc,fit,Mercury_SC_415542,Mercury_SC_415542,True,58fe13ea852643474ef90b3571ba75ded3962c2fc106896dcfda881771bffa3d
arc,fit,LEAP_2009_4_10293,LEAP_2009_4_10293,True,8a857a6e22f8d425a5a4f84c92baf3f163cdfd4f91ad94399149cb1a1fd5bd03
arc,fit,AKDE&ED_2008_8_9,AKDE&ED_2008_8_9,True,4fb21b6dec8209f5eb18f106425669332fbbc81ac722d74dbc717709c99f817a
arc,fit,Mercury_7212468,Mercury_7212468,True,355bc8cb0edcf90351115b3f6155ef2de6f9609d0a4878979a2fda846383b1e3
arc,fit,Mercury_7206535,Mercury_7206535,True,50366a9c1e92bda6b80b561a480d6034f8419d62f6f58f7a16722628b3954ff7
arc,fit,MSA_2013_8_4,MSA_2013_8_4,True,e3df5fc6b17a02c16dc8867ee49c85a6e55c3a34c916d6da84130c519d6c9b38
arc,fit,Mercury_7159530,Mercury_7159530,True,76598a838bb52d5240e3bbb6a9aeb9831ef742fa55779f635136dce18200ebcd
arc,fit,Mercury_7223283,Mercury_7223283,True,38f07cf6ba11c2af8ce7ccb97ce0f88060db6c5a0cb78abc91d90fad9b2b3c1a
arc,fit,Mercury_7252735,Mercury_7252735,True,4d14d887fcbc85fc837c6e4e3d9e9eea787965e2cc28ef4409d903c82672ba49
arc,fit,Mercury_SC_413078,Mercury_SC_413078,True,c585b466acd594623f361331b8d14642e932367fa87de68f08e342271b5be987
arc,fit,TIMSS_1995_8_P7,TIMSS_1995_8_P7,True,68de66c93371bc60862bb63355bae412b5d7e01fa9c17feb0c1ef69c0460406e
arc,fit,MDSA_2007_8_19,MDSA_2007_8_19,True,6088963e0a43d191c6493e572101caa7d3725531682222f41e959c9d9f2669e3
arc,fit,Mercury_7175683,Mercury_7175683,True,618499a8c5a5d87fbf00e2be092085361377f8f7c864ec6eb896256c073fe31d
arc,fit,Mercury_7268188,Mercury_7268188,True,6471ef248e5a7e2603e3abdd99dd3a58f0b55e1dc52a8dbf776cd64f94cd0b2f
arc,fit,Mercury_SC_415480,Mercury_SC_415480,True,1ee143753f2efaf33b6e770f1379e1c05f6c6f97d5f21594da4a5725dd410ab9
arc,fit,Mercury_SC_408550,Mercury_SC_408550,True,ad987678fce0f44aa03c0869507524a355c473e298a2d44da251c100b6cab3f9
arc,fit,Mercury_7239523,Mercury_7239523,True,19970754e97118ff79a8f7c183545992abed67de4e3e1950c3cab8650a7a8151
arc,fit,MSA_2012_8_33,MSA_2012_8_33,True,74f68daf6c934fdfa20ee0503c0eca4badc543b1d38020e918c3b59c8a1a6412
arc,fit,Mercury_7210280,Mercury_7210280,True,c2fe58293a5967bce955ce235bcc879dcd4e06e293a7aac9e1ca32dbf2767c00
arc,fit,Mercury_7211225,Mercury_7211225,True,db60b6ad15045e7d90d93db654358da16c5ded1dc324cbf36d434e68ddfce851
arc,fit,MCAS_2002_8_9,MCAS_2002_8_9,True,84d10378ed87b78a543568c2cee1b0f74b90effd17f7a480562ea69c0d6f47fa
arc,fit,Mercury_7092505,Mercury_7092505,True,2961847e5a1a344fc7ba4910c0ae838b4d2d7f1bba7666fa82ff52b833e7fb77
arc,fit,MCAS_2006_9_27,MCAS_2006_9_27,True,14ac30f23cb634bbbb208cd15f4803f73a544b4723fe8029d4979581ac0f9dce
arc,fit,Mercury_7141470,Mercury_7141470,True,0d1112cf8774b1235096f921eb95774f8d41e1973085ace2413dcd95e2ba243f
arc,fit,Mercury_SC_401157,Mercury_SC_401157,True,cdbed2404269064a046659cd3dfaeb4a246507de70d2b7159795a6e0f235f46c
arc,fit,MDSA_2007_8_29,MDSA_2007_8_29,True,69532c1b15301ea99356ce646d88f3c33fe26feccc3552d306e67ce0a20111b3
arc,fit,MCAS_1999_4_8,MCAS_1999_4_8,True,900bf45ac65a6f5a410dfb9cf2f728b29f81e3fb9b9325fcb851eaf4fd311f63
arc,fit,Mercury_7187005,Mercury_7187005,True,7c79ce6ae6db171496c8b5f07a648116aa1d6fb411ea02552ebe95357d53ce17
arc,fit,Mercury_411029,Mercury_411029,True,d7b16ebff859f175769b7221e1ffe85ba2f899eef064082066f624e231ff34c8
arc,fit,Mercury_7159093,Mercury_7159093,True,6e125f228842db95776cf4b33124ce8a7125382166aa2e4fa1ccf16b7f59406a
arc,fit,Mercury_7271285,Mercury_7271285,True,fc29f9f8cdfbc9cfc49e5b50737d93b9e1ea976c8328db088a6727def34904e3
arc,fit,MEA_2011_8_8,MEA_2011_8_8,True,215e15dc45a100b7ad8d82bb6da9862b9cf265983a7fca4abd20b2b8e2a1d9b9
arc,fit,MEA_2012_5_8,MEA_2011_8_8,False,215e15dc45a100b7ad8d82bb6da9862b9cf265983a7fca4abd20b2b8e2a1d9b9
arc,fit,MCAS_2008_5_5634,MCAS_2008_5_5634,True,4c05acd0fba82a72ef3e47cdc70489e10c1bdf206386879789efc1481e01b321
arc,fit,Mercury_410136,Mercury_410136,True,38e4b3c40f257bbd32eac58e65fd882f023e839446ba0e9b36a1bb86dbae1664
arc,fit,Mercury_7188930,Mercury_7188930,True,978eb78ee24476d9218d29cbfdd4ef20f81760fb78a9f7032fc08f646cc524a2
arc,fit,Mercury_SC_LBS10647,Mercury_SC_LBS10647,True,b92579ee7a93af42d0769d3c0c61306dda70571b3186fed6d48266a06a12d8c5
arc,fit,Mercury_SC_415475,Mercury_SC_415475,True,dc731b1b15874e321939e55217a898e9db2f80e1c50608af699b07f722ef0e47
arc,fit,ACTAAP_2010_7_7,ACTAAP_2010_7_7,True,36bfcbc5a7eaf57cc9661849e71bf4b00d523c63e83a6bae1b34236141536056
arc,fit,Mercury_SC_410891,Mercury_SC_410891,True,ab177b38f836be8526d1d9ec9a0f473385f380a9bfa4d6cf7b8aec2ba0bfa162
arc,fit,Mercury_7213850,Mercury_7213850,True,a72b5cd5cfdf2fa23c781708347ec7ab7ebcd5a394517758f03a6436c902ead6
arc,fit,Mercury_SC_401306,Mercury_SC_401306,True,6dfc80535dcb0accc46b067952650c56163b9e65319f1b39a4db4a2a49830a32
arc,fit,Mercury_7131950,Mercury_7131950,True,3bd2efecb28ba9d8307bb934a7a37efb2df8d8114666d54445c9b400d451e351
arc,fit,Mercury_7086678,Mercury_7086678,True,5ec12eebc19c94e13ba660ef4e7b04ca330d95085fdf96edf1783b8228adaacf
arc,fit,Mercury_7093188,Mercury_7093188,True,dae469c9e9db582c7bc90548cefd24b47cedb26320391496fb8fa82c64cdee50
arc,fit,MCAS_2001_8_13,MCAS_2001_8_13,True,ea35e264cd523a3378f892eb36e0e7ba7779320eea1dadd0df9282e820b8de23
arc,fit,Mercury_7082810,Mercury_7082810,True,57b2cb9288501204f951291411dca9124e7672887f66faff8acd65fa7e300f53
arc,fit,Mercury_7195685,Mercury_7195685,True,459c162ead54015fe5cc3e8c5b7f7e3d1f07403e9b0126e4da2fa9f09c118dc0
arc,fit,MCAS_2009_5_6522,MCAS_2009_5_6522,True,2ee1c077ff8396c93bad567a46580dab9272c3c849277b209468bb7f6a1e550b
arc,fit,Mercury_SC_415540,Mercury_SC_415540,True,bee3a5e68c4ff4a95f6bc0efe0cbfcccdd8d924cc81dc58a60ccbe22c71ecf66
arc,fit,MCAS_2000_4_17,MCAS_2000_4_17,True,2efac25f48b77eb97c9784d692d3d33cb73e96a0560c1bfa1b8c16e938cfcdfe
arc,fit,MCAS_1998_8_5,MCAS_1998_8_5,True,617aa54441153bc83dbbaddcf484156326141b0fe146d28e75c765126c0429a8
arc,fit,VASoL_2009_3_17,VASoL_2009_3_17,True,568b2b4505907f3a64e4687b7fad1bb0e337cfa523a51fda6d536b5daba68120
arc,fit,MEA_2014_5_13,MEA_2014_5_13,True,6e4590858301ff3e5176bb13d7cc5d548b8f58b82562332ebc393be9f62744a7
arc,fit,Mercury_7239418,Mercury_7239418,True,6d7c55ba98989dab3453ddd6ead389809ede58bc17989c9fde1e2b7cd9dffe75
arc,fit,Mercury_SC_405514,Mercury_SC_405514,True,aaaddee32d61b5b387a7b375cc7ecbf903f8c323500f7a49fe5f6902a5d8ddf6
arc,fit,Mercury_SC_401216,Mercury_SC_401216,True,0902acf8e7216fab97908c5c18508664b4f0ca3e69c6cbbb5d02616ee52ce5e9
arc,fit,TAKS_2009_8_9,TAKS_2009_8_9,True,17cda0f3ad03a5020ace844699715d3ed9675e116b0599ed3ef804cc303bce7e
arc,fit,MDSA_2011_4_12,MDSA_2011_4_12,True,53cbbe7ee5c47dce86a3cde55d123a172825f7bcbbe8e62d192b89bcb158757d
arc,fit,Mercury_7236600,Mercury_7236600,True,7b84cba1584f036448c1a40db15b20e004d5601fd18cc4b14490f8d955da0529
arc,fit,Mercury_7214463,Mercury_7214463,True,8ece812b5a4fb64c146c3cc0c5ff3a62adb6b1bbaecc1d348367815af9207f74
arc,fit,Mercury_SC_400696,Mercury_SC_400696,True,1fd0d01e4c1b9c7344f19acd9623ceca6e8d9cf05a6d88e2ad403a178d1267c0
arc,fit,Mercury_7103460,Mercury_7103460,True,1da6dd7751277c5ed243ae536409f1f335e1ed5a2f0bdb1150c9ac55506dee8d
arc,fit,Mercury_412649,Mercury_412649,True,7542db089d59f5ca08f076ad64873673fc66ba739b49fce316be939be65f98c0
arc,fit,Mercury_SC_408784,Mercury_SC_408784,True,f22933d66a6fde924dd48bc0c6bd27a5ded87cf83759b0d13c137faac82877d6
arc,fit,Mercury_7218155,Mercury_7218155,True,4c3d88da2cdf76914ad286d616fc969794ebbb412caba9f4ecdc3622a22423a6
arc,fit,MEA_2010_8_7-v1,MEA_2010_8_7-v1,True,72cede868eed06e21e2cf6cb4cf2032f539e74d845fd16fd09f9f11926bc2893
arc,fit,Mercury_7283938,Mercury_7283938,True,32abb8435b7bb5bb2725e5f1f4559e09064412feb95279e7599ec24e5e3fc7db
arc,fit,MCAS_1998_8_4,MCAS_1998_8_4,True,eb923d895006ef04f8d21145be2784ac59df496b258546e721bf88d3bf774720
arc,fit,LEAP_2006_8_10413,LEAP_2006_8_10413,True,4c0e831a085d683a14b41f3cecb00e2d1ac30497f4f06abe917463690104c3c1
arc,fit,Mercury_7058030,Mercury_7058030,True,e5f31e8ae637306e02c45baa3ce8555e2f7e0cd8f6a032f65a3a769227086ede
