setting,seed,q,N_cal,n,k,label
obqa/Text,96,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,97,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,98,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,99,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,100,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,101,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,102,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,103,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,104,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,105,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,106,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,107,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,108,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,109,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,110,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,111,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,112,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,113,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,114,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,115,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,116,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,117,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,118,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,119,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,120,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,121,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,122,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,123,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,124,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,125,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,126,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,127,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,128,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,129,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,130,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,131,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,132,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,133,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,134,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,135,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,136,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,137,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,138,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,139,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,140,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,141,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,142,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,143,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,144,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,145,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,146,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,147,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,148,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,149,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,150,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,151,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,152,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,153,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,154,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,155,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,156,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,157,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,158,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,159,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,160,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,161,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,162,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,163,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,164,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,165,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,166,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,167,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,168,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,169,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,170,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,171,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,172,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,173,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,174,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,175,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,176,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,177,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,178,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,179,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,180,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,181,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,182,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,183,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,184,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,185,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,186,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,187,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,188,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,189,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,190,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,191,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,192,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,193,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,194,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,195,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,196,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,197,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,198,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,199,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,200,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,1,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,2,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,3,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,4,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,5,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,6,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,7,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,8,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,9,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,10,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,11,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,12,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,13,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,14,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,15,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,16,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,17,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,18,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,19,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,20,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,21,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,22,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,23,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,24,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,25,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,26,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,27,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,28,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,29,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,30,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,31,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,32,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,33,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,34,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,35,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,36,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,37,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,38,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,39,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,40,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,41,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,42,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,43,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,44,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,45,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,46,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,47,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,48,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,49,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,50,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,51,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,52,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,53,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,54,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,55,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,56,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,57,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,58,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,59,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,60,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,61,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,62,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,63,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,64,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,65,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,66,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,67,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,68,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,69,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,70,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,71,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,72,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,73,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,74,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,75,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,76,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,77,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,78,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,79,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,80,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,81,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,82,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,83,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,84,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,85,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,86,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,87,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,88,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,89,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,90,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,91,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,92,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,93,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,94,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,95,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,96,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,97,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,98,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,99,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,100,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,101,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,102,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,103,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,104,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,105,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,106,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,107,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,108,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,109,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,110,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,111,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,112,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,113,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,114,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,115,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,116,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,117,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,118,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,119,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,120,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,121,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,122,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
