item,check,expected,observed,status,source
a,large/MMLU-Pro/C2C: largest accepted candidate = frozen q,0.4,0.4,PASS,recomputed: E17.ledger on E17.load cal split
a,"large/MMLU-Pro/C2C: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 1442, 9], [0.1, 1442, 9], [0.15, 1442, 9], [0.2, 1442, 9], [0.25, 1542, 9], [0.3, 1817, 24], [0.35, 2105, 45], [0.4, 2358, 75], [0.45, 2654, 118], [0.5, 2948, 186], [0.55, 3269, 279], [0.6, 3568, 393], [0.65, 3868, 506], [0.7, 4154, 632], [0.75, 4457, 786], [0.8, 4730, 941], [0.85, 5023, 1102], [0.9, 5378, 1327], [0.95, 5703, 1538], [1.0, 6000, 1748]]","[[0.05, 1442, 9], [0.1, 1442, 9], [0.15, 1442, 9], [0.2, 1442, 9], [0.25, 1542, 9], [0.3, 1817, 24], [0.35, 2105, 45], [0.4, 2358, 75], [0.45, 2654, 118], [0.5, 2948, 186], [0.55, 3269, 279], [0.6, 3568, 393], [0.65, 3868, 506], [0.7, 4154, 632], [0.75, 4457, 786], [0.8, 4730, 941], [0.85, 5023, 1102], [0.9, 5378, 1327], [0.95, 5703, 1538], [1.0, 6000, 1748]]",PASS,$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/calibration/40_test_ledger.csv
a,medium/OBQA/C2C q=.55: largest accepted candidate = frozen q,0.55,0.55,PASS,recomputed: E17.ledger on E17.load cal split
a,"medium/OBQA/C2C q=.55: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 601, 7], [0.1, 601, 7], [0.15, 601, 7], [0.2, 601, 7], [0.25, 601, 7], [0.3, 601, 7], [0.35, 601, 7], [0.4, 601, 7], [0.45, 601, 7], [0.5, 665, 10], [0.55, 739, 19], [0.6, 800, 34], [0.65, 880, 50], [0.7, 959, 72], [0.75, 1019, 89], [0.8, 1089, 113], [0.85, 1155, 143], [0.9, 1219, 173], [0.95, 1293, 208], [1.0, 1366, 242]]","[[0.05, 601, 7], [0.1, 601, 7], [0.15, 601, 7], [0.2, 601, 7], [0.25, 601, 7], [0.3, 601, 7], [0.35, 601, 7], [0.4, 601, 7], [0.45, 601, 7], [0.5, 665, 10], [0.55, 739, 19], [0.6, 800, 34], [0.65, 880, 50], [0.7, 959, 72], [0.75, 1019, 89], [0.8, 1089, 113], [0.85, 1155, 143], [0.9, 1219, 173], [0.95, 1293, 208], [1.0, 1366, 242]]",PASS,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/obqa_C.csv
a,medium/OBQA/C2C q=.55: frozen-q row k/n and p (request value),"[19, 739, ""6.9e-04""]","[19, 739, ""6.9e-04""]",PASS,request
a,medium/ARC/C2C: largest accepted candidate = frozen q,0.6,0.6,PASS,recomputed: E17.ledger on E17.load cal split
a,"medium/ARC/C2C: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 256, 1], [0.1, 256, 1], [0.15, 256, 1], [0.2, 256, 1], [0.25, 256, 1], [0.3, 256, 1], [0.35, 256, 1], [0.4, 256, 1], [0.45, 256, 1], [0.5, 256, 1], [0.55, 256, 1], [0.6, 290, 1], [0.65, 319, 8], [0.7, 340, 12], [0.75, 363, 15], [0.8, 378, 21], [0.85, 399, 28], [0.9, 417, 40], [0.95, 427, 43], [1.0, 448, 55]]","[[0.05, 256, 1], [0.1, 256, 1], [0.15, 256, 1], [0.2, 256, 1], [0.25, 256, 1], [0.3, 256, 1], [0.35, 256, 1], [0.4, 256, 1], [0.45, 256, 1], [0.5, 256, 1], [0.55, 256, 1], [0.6, 290, 1], [0.65, 319, 8], [0.7, 340, 12], [0.75, 363, 15], [0.8, 378, 21], [0.85, 399, 28], [0.9, 417, 40], [0.95, 427, 43], [1.0, 448, 55]]",PASS,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/arc_C.csv
a,large/OBQA/Text+fact: largest accepted candidate = frozen q,0.75,0.75,PASS,recomputed: E17.ledger on E17.load cal split
a,"large/OBQA/Text+fact: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 642, 2], [0.1, 642, 2], [0.15, 642, 2], [0.2, 642, 2], [0.25, 642, 2], [0.3, 642, 2], [0.35, 642, 2], [0.4, 642, 2], [0.45, 642, 2], [0.5, 683, 2], [0.55, 728, 3], [0.6, 807, 7], [0.65, 870, 11], [0.7, 932, 16], [0.75, 999, 22], [0.8, 1064, 33], [0.85, 1135, 57], [0.9, 1217, 86], [0.95, 1297, 123], [1.0, 1366, 170]]","[[0.05, 642, 2], [0.1, 642, 2], [0.15, 642, 2], [0.2, 642, 2], [0.25, 642, 2], [0.3, 642, 2], [0.35, 642, 2], [0.4, 642, 2], [0.45, 642, 2], [0.5, 683, 2], [0.55, 728, 3], [0.6, 807, 7], [0.65, 870, 11], [0.7, 932, 16], [0.75, 999, 22], [0.8, 1064, 33], [0.85, 1135, 57], [0.9, 1217, 86], [0.95, 1297, 123], [1.0, 1366, 170]]",PASS,$DATA_DIR/P2_R2_GPU_20260919T220941Z/e6/analysis/E6_LEDGER.csv
a,large/OBQA/Text+fact: frozen-q row k/n and p (request value),"[22, 999, ""4.8e-06""]","[22, 999, ""4.8e-06""]",PASS,request
a,Llama-3.1-8B/OBQA/Text: largest accepted candidate = frozen q,0.6,0.6,PASS,recomputed: E17.ledger on E17.load cal split
a,"Llama-3.1-8B/OBQA/Text: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 57, 0], [0.1, 110, 0], [0.15, 192, 0], [0.2, 259, 0], [0.25, 311, 0], [0.3, 397, 1], [0.35, 457, 2], [0.4, 533, 6], [0.45, 595, 7], [0.5, 671, 12], [0.55, 743, 19], [0.6, 800, 21], [0.65, 877, 32], [0.7, 941, 49], [0.75, 1021, 64], [0.8, 1100, 84], [0.85, 1164, 109], [0.9, 1225, 141], [0.95, 1288, 174], [1.0, 1366, 217]]","[[0.05, 57, 0], [0.1, 110, 0], [0.15, 192, 0], [0.2, 259, 0], [0.25, 311, 0], [0.3, 397, 1], [0.35, 457, 2], [0.4, 533, 6], [0.45, 595, 7], [0.5, 671, 12], [0.55, 743, 19], [0.6, 800, 21], [0.65, 877, 32], [0.7, 941, 49], [0.75, 1021, 64], [0.8, 1100, 84], [0.85, 1164, 109], [0.9, 1225, 141], [0.95, 1288, 174], [1.0, 1366, 217]]",PASS,$DATA_DIR/P2_R6_X3_20260921T052602Z/results/analysis/certification_ledger_40.csv
a,Llama-3.1-8B/OBQA/Text: frozen-q row k/n and p (request value),"[21, 800, ""5.7e-04""]","[21, 800, ""5.7e-04""]",PASS,request
a,Llama-3.1-8B/ARC/Text: largest accepted candidate = frozen q,0.7,0.7,PASS,recomputed: E17.ledger on E17.load cal split
a,"Llama-3.1-8B/ARC/Text: 20 calibration rows (q, n, k) = stored ledger","[[0.05, 19, 0], [0.1, 44, 0], [0.15, 77, 0], [0.2, 89, 0], [0.25, 113, 0], [0.3, 129, 0], [0.35, 147, 0], [0.4, 172, 0], [0.45, 205, 0], [0.5, 218, 1], [0.55, 246, 1], [0.6, 269, 2], [0.65, 301, 3], [0.7, 320, 4], [0.75, 335, 7], [0.8, 354, 9], [0.85, 377, 12], [0.9, 409, 17], [0.95, 421, 24], [1.0, 448, 40]]","[[0.05, 19, 0], [0.1, 44, 0], [0.15, 77, 0], [0.2, 89, 0], [0.25, 113, 0], [0.3, 129, 0], [0.35, 147, 0], [0.4, 172, 0], [0.45, 205, 0], [0.5, 218, 1], [0.55, 246, 1], [0.6, 269, 2], [0.65, 301, 3], [0.7, 320, 4], [0.75, 335, 7], [0.8, 354, 9], [0.85, 377, 12], [0.9, 409, 17], [0.95, 421, 24], [1.0, 448, 40]]",PASS,$DATA_DIR/P2_R6_X3_20260921T052602Z/results/analysis/certification_ledger_40.csv
a,Llama-3.1-8B/ARC/Text: frozen-q row k/n and p (request value),"[4, 320, ""3.15e-04""]","[4, 320, ""3.15e-04""]",PASS,request
b,large/OBQA/Text: dev omitted/changed at frozen q,"[572, 19]","[572, 19]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,large/OBQA/C2C: dev omitted/changed at frozen q,"[572, 13]","[572, 13]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,large/ARC/Text: dev omitted/changed at frozen q,"[284, 9]","[284, 9]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,large/ARC/C2C: dev omitted/changed at frozen q,"[270, 3]","[270, 3]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,large/MMLU-Pro/Text: dev omitted/changed at frozen q,"[1069, 40]","[1069, 40]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,large/MMLU-Pro/C2C: dev omitted/changed at frozen q,"[1069, 37]","[1069, 37]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,medium/OBQA/C2C q=.55: dev omitted/changed at frozen q,"[390, 11]","[390, 11]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,medium/ARC/C2C: dev omitted/changed at frozen q,"[189, 4]","[189, 4]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,large/OBQA/Text+fact: dev omitted/changed at frozen q,"[536, 13]","[536, 13]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,Llama-3.1-8B/OBQA/Text: dev omitted/changed at frozen q,"[438, 7]","[438, 7]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,Llama-3.1-8B/ARC/Text: dev omitted/changed at frozen q,"[206, 4]","[206, 4]",PASS,$DATA_DIR/P2_R8_E19_20260921T224942Z/REPRO.md
b,large/OBQA/Text: dev correct R / reference / frozen policy,"[617, 645, 638]","[617, 645, 638]",PASS,request; P2_R5_E13.../scripts/item3.py PAPER_DEV
b,large/ARC/Text: dev correct R / reference / frozen policy,"[268, 274, 270]","[268, 274, 270]",PASS,request; P2_R5_E13.../scripts/item3.py PAPER_DEV
b,large/MMLU-Pro/Text: dev correct R / reference / frozen policy,"[1282, 1319, 1321]","[1282, 1319, 1321]",PASS,request; P2_R5_E13.../scripts/item3.py PAPER_DEV
b,large/OBQA/Text+fact: dev correct R / reference / frozen policy,"[617, 670, 660]","[617, 670, 660]",PASS,request; P2_R5_E13.../scripts/item3.py PAPER_DEV
b,Llama-3.1-8B/OBQA/Text: dev correct R / reference / frozen policy,"[603, 636, 638]","[603, 636, 638]",PASS,request; P2_R5_E13.../scripts/item3.py PAPER_DEV
b,Llama-3.1-8B/ARC/Text: dev correct R / reference / frozen policy,"[239, 260, 258]","[239, 260, 258]",PASS,request; P2_R5_E13.../scripts/item3.py PAPER_DEV
c,large/OBQA/Text: held-out OBQA 744 omit iff u <= frozen tau equals stored route flag,0,0,PASS,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl
c,large/OBQA/Text: held-out OBQA 744 omitted/changed at frozen q,"[595, 12]","[595, 12]",PASS,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl
c,large/OBQA/Text+fact: held-out OBQA 744 omit iff u <= frozen tau equals stored route flag,0,0,PASS,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl
c,large/OBQA/Text+fact: held-out OBQA 744 omitted/changed at frozen q,"[558, 16]","[558, 16]",PASS,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl
c,Llama-3.1-8B/OBQA/Text: held-out OBQA 744 (E16-1) omit iff u <= frozen tau equals stored route flag,0,0,PASS,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_obqa.jsonl
c,Llama-3.1-8B/OBQA/Text: held-out OBQA 744 (E16-1) omitted/changed at frozen q,"[440, 3]","[440, 3]",PASS,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_obqa.jsonl
c,"Llama-3.1-8B/ARC/Text: ARC test 1,172 (E16-1) omit iff u <= frozen tau equals stored route flag",0,0,PASS,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_arc.jsonl
c,"Llama-3.1-8B/ARC/Text: ARC test 1,172 (E16-1) omitted/changed at frozen q","[794, 15]","[794, 15]",PASS,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_arc.jsonl
c,"large/ARC/Text: sealed ARC 1,172 omit iff u <= frozen tau equals stored route flag",0,0,PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl (e17_common.load_sealed)
c,"large/ARC/Text: sealed ARC 1,172 omitted/changed at frozen q","[1100, 20]","[1100, 20]",PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl (e17_common.load_sealed)
d,medium/OBQA/C2C q=.55: dev AUROC vs paper 0.84 (|diff| <= 5e-4),0.84,0.840107,PASS,paper tab_dev_full.tex / request
d,medium/OBQA/C2C q=.55: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.8401069451905898,0.8401069451905898,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,medium/ARC/C2C: dev AUROC vs paper 0.91 (|diff| <= 5e-4),0.91,0.909736,PASS,paper tab_dev_full.tex / request
d,medium/ARC/C2C: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.9097360557768924,0.9097360557768924,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,large/OBQA/Text: dev AUROC vs paper 0.873 (|diff| <= 5e-4),0.873,0.87273,PASS,paper tab_dev_full.tex / request
d,large/OBQA/Text: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.8727300995024876,0.8727300995024876,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,large/OBQA/C2C: dev AUROC vs paper 0.883 (|diff| <= 5e-4),0.883,0.882649,PASS,paper tab_dev_full.tex / request
d,large/OBQA/C2C: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.8826490713587488,0.8826490713587488,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,large/ARC/Text: dev AUROC vs paper 0.952 (|diff| <= 5e-4),0.952,0.951878,PASS,paper tab_dev_full.tex / request
d,large/ARC/Text: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.9518779342723005,0.9518779342723005,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,large/ARC/C2C: dev AUROC vs paper 0.909 (|diff| <= 5e-4),0.909,0.908827,PASS,paper tab_dev_full.tex / request
d,large/ARC/C2C: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.9088269454123112,0.9088269454123112,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,large/MMLU-Pro/Text: dev AUROC vs paper 0.821 (|diff| <= 5e-4),0.821,0.821468,PASS,paper tab_dev_full.tex / request
d,large/MMLU-Pro/Text: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.8214679315782257,0.8214679315782257,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,large/MMLU-Pro/C2C: dev AUROC vs paper 0.846 (|diff| <= 5e-4),0.846,0.8464,PASS,paper tab_dev_full.tex / request
d,large/MMLU-Pro/C2C: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.8463998007101454,0.8463998007101454,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,large/OBQA/Text+fact: dev AUROC vs paper 0.889 (|diff| <= 5e-4),0.889,0.888593,PASS,paper tab_dev_full.tex / request
d,large/OBQA/Text+fact: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.8885925399083293,0.8885925399083293,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,Llama-3.1-8B/OBQA/Text: dev AUROC vs paper 0.8745 (|diff| <= 5e-4),0.8745,0.874486,PASS,paper tab_dev_full.tex / request
d,Llama-3.1-8B/OBQA/Text: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.8744859614293817,0.8744859614293817,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,Llama-3.1-8B/ARC/Text: dev AUROC vs paper 0.8804 (|diff| <= 5e-4),0.8804,0.880442,PASS,paper tab_dev_full.tex / request
d,Llama-3.1-8B/ARC/Text: dev AUROC vs stored unrounded (E17_5_inputs.csv),0.8804415102125026,0.8804415102125026,PASS,$DATA_DIR/P2_R7_E17_20260921T183100Z/results/E17_5_inputs.csv
d,SQuAD/Llama (s2): dev AUROC vs paper .811 (|diff| <= 5e-4),0.811,0.810852,PASS,request
d,SQuAD/Llama (s2): dev AUROC vs STATS_E20F.json dev.AUROC_s2,0.8108516778729544,0.8108516778729544,PASS,$DATA_DIR/P2_R8_E20F_20260922T003652Z/STATS_E20F.json
d,SQuAD/Llama dev disagreements (E20F: 154/1000),"[154, 1000]","[154, 1000]",PASS,$DATA_DIR/P2_R8_E20F_20260922T003652Z/RESULTS_E20F.md
e,large/OBQA/Text: E13-3 gain retention at alpha=.05 (3 dp),0.75,0.75,PASS,request / E13 item3_alpha_sweep.csv
e,large/ARC/Text: E13-3 gain retention at alpha=.05 (3 dp),0.333,0.333,PASS,request / E13 item3_alpha_sweep.csv
e,large/MMLU-Pro/Text: E13-3 gain retention at alpha=.05 (3 dp),1.054,1.054,PASS,request / E13 item3_alpha_sweep.csv
e,large/OBQA/Text+fact: E13-3 gain retention at alpha=.05 (3 dp),0.811,0.811,PASS,request / E13 item3_alpha_sweep.csv
f,"large/OBQA/Text: E19-1 panel net saving [95% CI] (ms, unrounded)","[517.1262959393061, 447.76240365922604, 583.5989186702591]","[517.1262959393061, 447.76240365922604, 583.5989186702591]",PASS,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
f,"large/ARC/Text: E19-1 panel net saving [95% CI] (ms, unrounded)","[717.6287613056047, 670.6139493022874, 763.2107882986928]","[717.6287613056047, 670.6139493022874, 763.2107882986928]",PASS,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl
f,"large/MMLU-Pro/Text: E19-1 panel net saving [95% CI] (ms, unrounded)","[346.3156871330284, 249.8286115142946, 442.9725224629692]","[346.3156871330284, 249.8286115142946, 442.9725224629692]",PASS,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl
f,"large/OBQA/Text+fact: E19-1 panel net saving [95% CI] (ms, unrounded)","[343.4279101056745, 297.7048677665607, 385.9620618798999]","[343.4279101056745, 297.7048677665607, 385.9620618798999]",PASS,$DATA_DIR/P2_R2_E7_20260919T231531Z/e6replay/records_e6/e6_replay_requests.jsonl
f,"Llama-3.1-8B/OBQA/Text: E19-1 panel net saving [95% CI] (ms, unrounded)","[318.60086990127456, 261.09326909677293, 372.13898995200907]","[318.60086990127456, 261.09326909677293, 372.13898995200907]",PASS,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl
f,"Llama-3.1-8B/ARC/Text: E19-1 panel net saving [95% CI] (ms, unrounded)","[418.89480087957054, 361.6965100735797, 473.7328009223802]","[418.89480087957054, 361.6965100735797, 473.7328009223802]",PASS,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl
g,"E5-c large/OBQA V1 vs R: correct, changed, corrective, harmful","[599, 137, 48, 66]","[599, 137, 48, 66]",PASS,$DATA_DIR/P2_R2_CPU_20260919T220412Z/results/e5c_change_decomposition.csv
