split,unit,K,N,reference,q,threshold,mode,routed,coverage,changed,changed_over_routed,conditional_disagreement,marginal_disagreement,descriptive_CP_0_95_upper,R_reference_disagreement_count,R_reference_disagreement_prevalence,AUROC,AP,score_direction,reference_correct,policy_correct,reference_accuracy,policy_accuracy,accuracy_difference,benefit,harm,neutral_change,invalid_R,invalid_Text,invalid_C2C,invalid_policy
fit,raw_rows_descriptive,7,37,Text,0.4,3.838539123535156e-05,selective,22,0.5945945945945946,1,1/22,0.045454545454545456,0.02702702702702703,,6,0.16216216216216217,0.9301075268817204,0.861111111111111,higher u predicts R/reference disagreement,26,26,0.7027027027027027,0.7027027027027027,0.0,0,0,1,0,0,0,0
fit,raw_rows_descriptive,8,92,Text,0.4,3.838539123535156e-05,selective,54,0.5869565217391305,0,0/54,0.0,0.0,,14,0.15217391304347827,0.9203296703296704,0.6376582142772313,higher u predicts R/reference disagreement,66,66,0.717391304347826,0.717391304347826,0.0,0,0,0,1,0,1,0
fit,raw_rows_descriptive,9,209,Text,0.4,3.838539123535156e-05,selective,105,0.5023923444976076,5,5/105,0.047619047619047616,0.023923444976076555,,45,0.215311004784689,0.8240514905149052,0.5423332585011293,higher u predicts R/reference disagreement,107,108,0.5119617224880383,0.5167464114832536,0.004784688995215311,2,1,2,1,0,4,0
fit,raw_rows_descriptive,10,2565,Text,0.4,3.838539123535156e-05,selective,958,0.37348927875243665,37,37/958,0.038622129436325675,0.01442495126705653,,599,0.23352826510721247,0.8060394825557007,0.521146877511292,higher u predicts R/reference disagreement,1177,1173,0.458869395711501,0.45730994152046783,-0.0015594541910331384,11,15,11,7,0,19,1
fit,raw_rows_descriptive,3,6,C2C,0.4,3.838539123535156e-05,selective,4,0.6666666666666666,0,0/4,0.0,0.0,,1,0.16666666666666666,1.0,1.0,higher u predicts R/reference disagreement,5,5,0.8333333333333334,0.8333333333333334,0.0,0,0,0,0,0,0,0
fit,raw_rows_descriptive,4,147,C2C,0.4,3.838539123535156e-05,selective,87,0.5918367346938775,8,8/87,0.09195402298850575,0.05442176870748299,,37,0.25170068027210885,0.850982800982801,0.6865888294591258,higher u predicts R/reference disagreement,69,71,0.46938775510204084,0.48299319727891155,0.013605442176870748,5,3,0,0,0,1,0
fit,raw_rows_descriptive,5,14,C2C,0.4,3.838539123535156e-05,selective,9,0.6428571428571429,2,2/9,0.2222222222222222,0.14285714285714285,,5,0.35714285714285715,0.7555555555555554,0.7357142857142858,higher u predicts R/reference disagreement,7,9,0.5,0.6428571428571429,0.14285714285714285,2,0,0,0,0,1,0
fit,raw_rows_descriptive,6,23,C2C,0.4,3.838539123535156e-05,selective,13,0.5652173913043478,0,0/13,0.0,0.0,,5,0.21739130434782608,0.9,0.7533333333333333,higher u predicts R/reference disagreement,13,13,0.5652173913043478,0.5652173913043478,0.0,0,0,0,0,0,0,0
fit,raw_rows_descriptive,7,37,C2C,0.4,3.838539123535156e-05,selective,22,0.5945945945945946,0,0/22,0.0,0.0,,5,0.13513513513513514,0.8375,0.38,higher u predicts R/reference disagreement,22,22,0.5945945945945946,0.5945945945945946,0.0,0,0,0,0,0,0,0
fit,raw_rows_descriptive,8,92,C2C,0.4,3.838539123535156e-05,selective,54,0.5869565217391305,1,1/54,0.018518518518518517,0.010869565217391304,,16,0.17391304347826086,0.8741776315789473,0.4825957493965207,higher u predicts R/reference disagreement,58,59,0.6304347826086957,0.6413043478260869,0.010869565217391304,1,0,0,1,0,1,1
fit,raw_rows_descriptive,9,209,C2C,0.4,3.838539123535156e-05,selective,105,0.5023923444976076,5,5/105,0.047619047619047616,0.023923444976076555,,50,0.23923444976076555,0.8350943396226415,0.6127938644236662,higher u predicts R/reference disagreement,106,108,0.507177033492823,0.5167464114832536,0.009569377990430622,2,0,3,1,0,4,3
fit,raw_rows_descriptive,10,2565,C2C,0.4,3.838539123535156e-05,selective,958,0.37348927875243665,35,35/958,0.03653444676409186,0.01364522417153996,,780,0.30409356725146197,0.8409983480571717,0.6531697676007041,higher u predicts R/reference disagreement,1089,1104,0.4245614035087719,0.4304093567251462,0.005847953216374269,18,3,14,7,0,19,13
cal,group_representatives,3,8,Text,0.4,3.838539123535156e-05,selective,7,0.875,0,0/7,0.0,0.0,0.34816365513116077,0,0.0,,,higher u predicts R/reference disagreement,7,7,0.875,0.875,0.0,0,0,0,0,0,0,0
cal,group_representatives,4,320,Text,0.4,3.838539123535156e-05,selective,148,0.4625,1,1/148,0.006756756756756757,0.003125,0.031650565056610576,43,0.134375,0.8276383175216186,0.372736624671626,higher u predicts R/reference disagreement,203,204,0.634375,0.6375,0.003125,1,0,0,0,0,2,0
cal,group_representatives,5,23,Text,0.4,3.838539123535156e-05,selective,15,0.6521739130434783,0,0/15,0.0,0.0,0.18103627252208462,1,0.043478260869565216,0.9545454545454546,0.5,higher u predicts R/reference disagreement,15,15,0.6521739130434783,0.6521739130434783,0.0,0,0,0,0,0,0,0
cal,group_representatives,6,45,Text,0.4,3.838539123535156e-05,selective,19,0.4222222222222222,0,0/19,0.0,0.0,0.14586850331224344,6,0.13333333333333333,0.8846153846153846,0.640079365079365,higher u predicts R/reference disagreement,30,30,0.6666666666666666,0.6666666666666666,0.0,0,0,0,0,0,0,0
cal,group_representatives,7,81,Text,0.4,3.838539123535156e-05,selective,47,0.5802469135802469,1,1/47,0.02127659574468085,0.012345679012345678,0.09700098591383144,15,0.18518518518518517,0.8828282828282829,0.6300073929046942,higher u predicts R/reference disagreement,60,60,0.7407407407407407,0.7407407407407407,0.0,0,0,1,0,1,0,0
cal,group_representatives,8,154,Text,0.4,3.838539123535156e-05,selective,97,0.6298701298701299,3,3/97,0.030927835051546393,0.01948051948051948,0.07799470845335697,26,0.16883116883116883,0.8701923076923077,0.5306831213201897,higher u predicts R/reference disagreement,104,106,0.6753246753246753,0.6883116883116883,0.012987012987012988,2,0,1,1,0,3,0
cal,group_representatives,9,386,Text,0.4,3.838539123535156e-05,selective,198,0.5129533678756477,9,9/198,0.045454545454545456,0.023316062176165803,0.07797747687890293,79,0.20466321243523317,0.8317940048653776,0.5716286255258431,higher u predicts R/reference disagreement,185,191,0.4792746113989637,0.4948186528497409,0.015544041450777202,6,0,3,1,0,2,0
cal,group_representatives,10,4983,Text,0.4,3.838539123535156e-05,selective,1827,0.3666465984346779,53,53/1827,0.029009304871373837,0.01063616295404375,0.036332134986497636,1125,0.22576760987357014,0.8078362997523184,0.5040396714366137,higher u predicts R/reference disagreement,2275,2270,0.4565522777443307,0.45554886614489265,-0.0010034115994380895,18,23,12,15,2,44,3
cal,group_representatives,3,8,C2C,0.4,3.838539123535156e-05,selective,7,0.875,0,0/7,0.0,0.0,0.34816365513116077,0,0.0,,,higher u predicts R/reference disagreement,7,7,0.875,0.875,0.0,0,0,0,0,0,0,0
cal,group_representatives,4,320,C2C,0.4,3.838539123535156e-05,selective,148,0.4625,6,6/148,0.04054054054054054,0.01875,0.07844329746591602,66,0.20625,0.798914340252923,0.4244240500255063,higher u predicts R/reference disagreement,186,190,0.58125,0.59375,0.0125,5,1,0,0,0,2,0
cal,group_representatives,5,23,C2C,0.4,3.838539123535156e-05,selective,15,0.6521739130434783,3,3/15,0.2,0.13043478260869565,0.43978443598155603,5,0.21739130434782608,0.6222222222222222,0.3462121212121212,higher u predicts R/reference disagreement,12,13,0.5217391304347826,0.5652173913043478,0.043478260869565216,2,1,0,0,0,0,0
cal,group_representatives,6,45,C2C,0.4,3.838539123535156e-05,selective,19,0.4222222222222222,0,0/19,0.0,0.0,0.14586850331224344,6,0.13333333333333333,0.717948717948718,0.27285233285233285,higher u predicts R/reference disagreement,25,25,0.5555555555555556,0.5555555555555556,0.0,0,0,0,0,0,0,0
cal,group_representatives,7,81,C2C,0.4,3.838539123535156e-05,selective,47,0.5802469135802469,1,1/47,0.02127659574468085,0.012345679012345678,0.09700098591383144,15,0.18518518518518517,0.8818181818181818,0.6173225570439193,higher u predicts R/reference disagreement,49,50,0.6049382716049383,0.6172839506172839,0.012345679012345678,1,0,0,0,1,0,0
cal,group_representatives,8,154,C2C,0.4,3.838539123535156e-05,selective,97,0.6298701298701299,0,0/97,0.0,0.0,0.0304118040369311,22,0.14285714285714285,0.9278581267217632,0.6239550999323501,higher u predicts R/reference disagreement,106,106,0.6883116883116883,0.6883116883116883,0.0,0,0,0,1,0,3,3
cal,group_representatives,9,386,C2C,0.4,3.838539123535156e-05,selective,198,0.5129533678756477,0,0/198,0.0,0.0,0.015016078188760934,64,0.16580310880829016,0.90137325310559,0.5745996815293608,higher u predicts R/reference disagreement,176,176,0.45595854922279794,0.45595854922279794,0.0,0,0,0,1,0,2,2
cal,group_representatives,10,4983,C2C,0.4,3.838539123535156e-05,selective,1827,0.3666465984346779,65,65/1827,0.03557744937055282,0.013044350792695164,0.04355712492086447,1570,0.3150712422235601,0.8339708980835733,0.6399478529263222,higher u predicts R/reference disagreement,2084,2112,0.4182219546457957,0.423841059602649,0.005619104956853301,33,5,27,15,2,44,36
cal,raw_rows_descriptive,3,8,Text,0.4,3.838539123535156e-05,selective,7,0.875,0,0/7,0.0,0.0,,0,0.0,,,higher u predicts R/reference disagreement,7,7,0.875,0.875,0.0,0,0,0,0,0,0,0
cal,raw_rows_descriptive,4,325,Text,0.4,3.838539123535156e-05,selective,150,0.46153846153846156,1,1/150,0.006666666666666667,0.003076923076923077,,44,0.13538461538461538,0.8249352960207053,0.370135323043083,higher u predicts R/reference disagreement,204,205,0.6276923076923077,0.6307692307692307,0.003076923076923077,1,0,0,0,0,2,0
cal,raw_rows_descriptive,5,24,Text,0.4,3.838539123535156e-05,selective,15,0.625,0,0/15,0.0,0.0,,1,0.041666666666666664,0.9130434782608696,0.3333333333333333,higher u predicts R/reference disagreement,15,15,0.625,0.625,0.0,0,0,0,0,0,0,0
cal,raw_rows_descriptive,6,47,Text,0.4,3.838539123535156e-05,selective,19,0.40425531914893614,0,0/19,0.0,0.0,,6,0.1276595744680851,0.8902439024390244,0.640079365079365,higher u predicts R/reference disagreement,31,31,0.6595744680851063,0.6595744680851063,0.0,0,0,0,0,0,0,0
cal,raw_rows_descriptive,7,82,Text,0.4,3.838539123535156e-05,selective,48,0.5853658536585366,1,1/48,0.020833333333333332,0.012195121951219513,,15,0.18292682926829268,0.8845771144278607,0.6300073929046942,higher u predicts R/reference disagreement,61,61,0.7439024390243902,0.7439024390243902,0.0,0,0,1,0,1,0,0
cal,raw_rows_descriptive,8,158,Text,0.4,3.838539123535156e-05,selective,99,0.6265822784810127,3,3/99,0.030303030303030304,0.0189873417721519,,27,0.17088607594936708,0.870511733107153,0.5311259027964275,higher u predicts R/reference disagreement,106,108,0.6708860759493671,0.6835443037974683,0.012658227848101266,2,0,1,1,0,3,0
cal,raw_rows_descriptive,9,397,Text,0.4,3.838539123535156e-05,selective,204,0.5138539042821159,9,9/204,0.04411764705882353,0.022670025188916875,,79,0.19899244332493704,0.8316415890454583,0.5645102064033757,higher u predicts R/reference disagreement,193,199,0.48614609571788414,0.5012594458438288,0.015113350125944584,6,0,3,1,0,3,0
cal,raw_rows_descriptive,10,5155,Text,0.4,3.838539123535156e-05,selective,1910,0.3705140640155189,57,57/1910,0.029842931937172777,0.011057225994180407,,1159,0.22483026188166827,0.8077510210814783,0.5031411642891351,higher u predicts R/reference disagreement,2369,2361,0.45955383123181376,0.4580019398642095,-0.0015518913676042677,18,26,13,15,2,44,3
cal,raw_rows_descriptive,3,8,C2C,0.4,3.838539123535156e-05,selective,7,0.875,0,0/7,0.0,0.0,,0,0.0,,,higher u predicts R/reference disagreement,7,7,0.875,0.875,0.0,0,0,0,0,0,0,0
cal,raw_rows_descriptive,4,325,C2C,0.4,3.838539123535156e-05,selective,150,0.46153846153846156,6,6/150,0.04,0.018461538461538463,,67,0.20615384615384616,0.8012842762929537,0.4273269089239037,higher u predicts R/reference disagreement,189,193,0.5815384615384616,0.5938461538461538,0.012307692307692308,5,1,0,0,0,2,0
cal,raw_rows_descriptive,5,24,C2C,0.4,3.838539123535156e-05,selective,15,0.625,3,3/15,0.2,0.125,,6,0.25,0.6759259259259258,0.4398692810457516,higher u predicts R/reference disagreement,12,13,0.5,0.5416666666666666,0.041666666666666664,2,1,0,0,0,0,0
cal,raw_rows_descriptive,6,47,C2C,0.4,3.838539123535156e-05,selective,19,0.40425531914893614,0,0/19,0.0,0.0,,6,0.1276595744680851,0.7195121951219512,0.26824246606855306,higher u predicts R/reference disagreement,26,26,0.5531914893617021,0.5531914893617021,0.0,0,0,0,0,0,0,0
cal,raw_rows_descriptive,7,82,C2C,0.4,3.838539123535156e-05,selective,48,0.5853658536585366,1,1/48,0.020833333333333332,0.012195121951219513,,15,0.18292682926829268,0.8835820895522388,0.6173225570439193,higher u predicts R/reference disagreement,50,51,0.6097560975609756,0.6219512195121951,0.012195121951219513,1,0,0,0,1,0,0
cal,raw_rows_descriptive,8,158,C2C,0.4,3.838539123535156e-05,selective,99,0.6265822784810127,0,0/99,0.0,0.0,,22,0.13924050632911392,0.9259692513368984,0.6182063766846121,higher u predicts R/reference disagreement,108,108,0.6835443037974683,0.6835443037974683,0.0,0,0,0,1,0,3,3
cal,raw_rows_descriptive,9,397,C2C,0.4,3.838539123535156e-05,selective,204,0.5138539042821159,2,2/204,0.00980392156862745,0.005037783375314861,,67,0.16876574307304787,0.8913839891451832,0.5697201498310134,higher u predicts R/reference disagreement,182,184,0.45843828715365237,0.4634760705289673,0.005037783375314861,2,0,0,1,0,3,2
cal,raw_rows_descriptive,10,5155,C2C,0.4,3.838539123535156e-05,selective,1910,0.3705140640155189,66,66/1910,0.03455497382198953,0.012803103782735208,,1605,0.3113482056256062,0.8359489272081084,0.6404290118576905,higher u predicts R/reference disagreement,2173,2201,0.4215324927255092,0.4269641125121241,0.005431619786614937,33,5,28,15,2,44,36
dev,group_representatives,3,7,Text,0.4,3.838539123535156e-05,selective,1,0.14285714285714285,0,0/1,0.0,0.0,0.95,1,0.14285714285714285,0.5,0.25,higher u predicts R/reference disagreement,1,1,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,0,0
dev,group_representatives,4,133,Text,0.4,3.838539123535156e-05,selective,61,0.45864661654135336,1,1/61,0.01639344262295082,0.007518796992481203,0.0754220320305016,16,0.12030075187969924,0.8170405982905983,0.2947508018672709,higher u predicts R/reference disagreement,94,95,0.706766917293233,0.7142857142857143,0.007518796992481203,1,0,0,0,0,2,0
dev,group_representatives,5,12,Text,0.4,3.838539123535156e-05,selective,10,0.8333333333333334,0,0/10,0.0,0.0,0.2588655508930522,0,0.0,,,higher u predicts R/reference disagreement,9,9,0.75,0.75,0.0,0,0,0,0,0,0,0
dev,group_representatives,6,23,Text,0.4,3.838539123535156e-05,selective,11,0.4782608695652174,0,0/11,0.0,0.0,0.2384041903808526,6,0.2608695652173913,0.9411764705882353,0.7999999999999999,higher u predicts R/reference disagreement,11,11,0.4782608695652174,0.4782608695652174,0.0,0,0,0,0,0,0,0
dev,group_representatives,7,36,Text,0.4,3.838539123535156e-05,selective,22,0.6111111111111112,0,0/22,0.0,0.0,0.12730543165483868,6,0.16666666666666666,0.9444444444444444,0.6496031746031746,higher u predicts R/reference disagreement,27,27,0.75,0.75,0.0,0,0,0,1,0,2,0
dev,group_representatives,8,67,Text,0.4,3.838539123535156e-05,selective,30,0.44776119402985076,0,0/30,0.0,0.0,0.09503385285530411,11,0.16417910447761194,0.8295454545454546,0.4822115160824838,higher u predicts R/reference disagreement,42,42,0.6268656716417911,0.6268656716417911,0.0,0,0,0,1,1,1,1
dev,group_representatives,9,189,Text,0.4,3.838539123535156e-05,selective,83,0.43915343915343913,3,3/83,0.03614457831325301,0.015873015873015872,0.09077230961004383,44,0.2328042328042328,0.7913793103448276,0.49045014939531717,higher u predicts R/reference disagreement,95,95,0.5026455026455027,0.5026455026455027,0.0,1,1,1,1,0,2,1
dev,group_representatives,10,2174,Text,0.4,3.838539123535156e-05,selective,851,0.39144434222631097,36,36/851,0.04230317273795535,0.01655933762649494,0.05548363497705169,477,0.21941122355105797,0.8199999011697793,0.5349736379577801,higher u predicts R/reference disagreement,1040,1041,0.47838086476540936,0.4788408463661454,0.00045998160073597056,12,11,13,3,1,13,0
dev,group_representatives,3,7,C2C,0.4,3.838539123535156e-05,selective,1,0.14285714285714285,0,0/1,0.0,0.0,0.95,1,0.14285714285714285,0.5,0.25,higher u predicts R/reference disagreement,1,1,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,0,0
dev,group_representatives,4,133,C2C,0.4,3.838539123535156e-05,selective,61,0.45864661654135336,1,1/61,0.01639344262295082,0.007518796992481203,0.0754220320305016,26,0.19548872180451127,0.8508267433501079,0.5198921256990111,higher u predicts R/reference disagreement,84,85,0.631578947368421,0.6390977443609023,0.007518796992481203,1,0,0,0,0,2,2
dev,group_representatives,5,12,C2C,0.4,3.838539123535156e-05,selective,10,0.8333333333333334,2,2/10,0.2,0.16666666666666666,0.5069013010632024,2,0.16666666666666666,0.7,0.3333333333333333,higher u predicts R/reference disagreement,7,9,0.5833333333333334,0.75,0.16666666666666666,2,0,0,0,0,0,0
dev,group_representatives,6,23,C2C,0.4,3.838539123535156e-05,selective,11,0.4782608695652174,0,0/11,0.0,0.0,0.2384041903808526,4,0.17391304347826086,0.9473684210526316,0.6791666666666667,higher u predicts R/reference disagreement,8,8,0.34782608695652173,0.34782608695652173,0.0,0,0,0,0,0,0,0
dev,group_representatives,7,36,C2C,0.4,3.838539123535156e-05,selective,22,0.6111111111111112,0,0/22,0.0,0.0,0.12730543165483868,4,0.1111111111111111,0.8046875,0.27638888888888885,higher u predicts R/reference disagreement,26,26,0.7222222222222222,0.7222222222222222,0.0,0,0,0,1,0,2,2
dev,group_representatives,8,67,C2C,0.4,3.838539123535156e-05,selective,30,0.44776119402985076,0,0/30,0.0,0.0,0.09503385285530411,12,0.1791044776119403,0.8909090909090909,0.5234852701764466,higher u predicts R/reference disagreement,37,37,0.5522388059701493,0.5522388059701493,0.0,0,0,0,1,1,1,1
dev,group_representatives,9,189,C2C,0.4,3.838539123535156e-05,selective,83,0.43915343915343913,2,2/83,0.024096385542168676,0.010582010582010581,0.07391362347434385,37,0.19576719576719576,0.8594416785206258,0.5572584679505608,higher u predicts R/reference disagreement,94,94,0.4973544973544973,0.4973544973544973,0.0,1,1,0,1,0,2,3
dev,group_representatives,10,2174,C2C,0.4,3.838539123535156e-05,selective,851,0.39144434222631097,32,32/851,0.03760282021151586,0.014719411223551058,0.050180747053172874,670,0.30818767249310025,0.8431853366147983,0.6463667973964962,higher u predicts R/reference disagreement,976,997,0.44894204231830726,0.4586016559337627,0.009659613615455382,23,2,7,3,1,13,11
dev,raw_rows_descriptive,3,7,Text,0.4,3.838539123535156e-05,selective,1,0.14285714285714285,0,0/1,0.0,0.0,,1,0.14285714285714285,0.5,0.25,higher u predicts R/reference disagreement,1,1,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,0,0
dev,raw_rows_descriptive,4,134,Text,0.4,3.838539123535156e-05,selective,62,0.4626865671641791,1,1/62,0.016129032258064516,0.007462686567164179,,16,0.11940298507462686,0.8185911016949153,0.2947508018672709,higher u predicts R/reference disagreement,95,96,0.7089552238805971,0.7164179104477612,0.007462686567164179,1,0,0,0,0,2,0
dev,raw_rows_descriptive,5,14,Text,0.4,3.838539123535156e-05,selective,11,0.7857142857142857,0,0/11,0.0,0.0,,0,0.0,,,higher u predicts R/reference disagreement,10,10,0.7142857142857143,0.7142857142857143,0.0,0,0,0,0,0,0,0
dev,raw_rows_descriptive,6,23,Text,0.4,3.838539123535156e-05,selective,11,0.4782608695652174,0,0/11,0.0,0.0,,6,0.2608695652173913,0.9411764705882353,0.7999999999999999,higher u predicts R/reference disagreement,11,11,0.4782608695652174,0.4782608695652174,0.0,0,0,0,0,0,0,0
dev,raw_rows_descriptive,7,39,Text,0.4,3.838539123535156e-05,selective,24,0.6153846153846154,0,0/24,0.0,0.0,,7,0.1794871794871795,0.9464285714285714,0.6679138321995465,higher u predicts R/reference disagreement,29,29,0.7435897435897436,0.7435897435897436,0.0,0,0,0,1,0,2,0
dev,raw_rows_descriptive,8,70,Text,0.4,3.838539123535156e-05,selective,31,0.44285714285714284,0,0/31,0.0,0.0,,12,0.17142857142857143,0.839080459770115,0.502629331077607,higher u predicts R/reference disagreement,43,43,0.6142857142857143,0.6142857142857143,0.0,0,0,0,1,1,1,1
dev,raw_rows_descriptive,9,195,Text,0.4,3.838539123535156e-05,selective,88,0.4512820512820513,3,3/88,0.03409090909090909,0.015384615384615385,,44,0.22564102564102564,0.7956050571944612,0.4865562840536999,higher u predicts R/reference disagreement,100,100,0.5128205128205128,0.5128205128205128,0.0,1,1,1,1,0,2,1
dev,raw_rows_descriptive,10,2261,Text,0.4,3.838539123535156e-05,selective,902,0.39893852277753206,38,38/902,0.04212860310421286,0.01680672268907563,,492,0.21760283060592658,0.8216535224990463,0.5366058120441948,higher u predicts R/reference disagreement,1094,1093,0.4838567005749668,0.4834144183989385,-0.0004422821760283061,12,13,13,3,1,14,0
