split,unit,category,N,reference,q,threshold,mode,routed,coverage,changed,changed_over_routed,conditional_disagreement,marginal_disagreement,descriptive_CP_0_95_upper,R_reference_disagreement_count,R_reference_disagreement_prevalence,AUROC,AP,score_direction,reference_correct,policy_correct,reference_accuracy,policy_accuracy,accuracy_difference,benefit,harm,neutral_change,invalid_R,invalid_Text,invalid_C2C,invalid_policy
fit,group_representatives,physics,334,Text,0.4,3.838539123535156e-05,selective,89,0.26646706586826346,3,3/89,0.033707865168539325,0.008982035928143712,0.08481740327443245,83,0.24850299401197604,0.7971967551480823,0.5325809590798474,higher u predicts R/reference disagreement,136,133,0.40718562874251496,0.39820359281437123,-0.008982035928143712,0,3,0,0,0,0,0
fit,group_representatives,psychology,205,Text,0.4,3.838539123535156e-05,selective,132,0.6439024390243903,3,3/132,0.022727272727272728,0.014634146341463415,0.05768960768778158,32,0.15609756097560976,0.8648843930635839,0.47657059706485133,higher u predicts R/reference disagreement,131,128,0.6390243902439025,0.624390243902439,-0.014634146341463415,0,3,0,0,0,1,0
fit,group_representatives,biology,163,C2C,0.4,3.838539123535156e-05,selective,109,0.6687116564417178,4,4/109,0.03669724770642202,0.024539877300613498,0.0820072484684793,24,0.147239263803681,0.9063249400479616,0.6867223648545919,higher u predicts R/reference disagreement,115,117,0.7055214723926381,0.7177914110429447,0.012269938650306749,2,0,2,0,0,3,2
fit,group_representatives,business,201,C2C,0.4,3.838539123535156e-05,selective,54,0.26865671641791045,2,2/54,0.037037037037037035,0.009950248756218905,0.11203669158882405,73,0.36318407960199006,0.792701198630137,0.6178697666736552,higher u predicts R/reference disagreement,71,72,0.35323383084577115,0.3582089552238806,0.004975124378109453,1,0,1,0,0,3,3
fit,group_representatives,chemistry,292,C2C,0.4,3.838539123535156e-05,selective,73,0.25,7,7/73,0.0958904109589041,0.023972602739726026,0.17257354413753742,129,0.4417808219178082,0.8029438341180387,0.7475226068387771,higher u predicts R/reference disagreement,98,101,0.3356164383561644,0.3458904109589041,0.010273972602739725,3,0,4,2,0,3,2
fit,group_representatives,computer science,105,C2C,0.4,3.838539123535156e-05,selective,51,0.4857142857142857,3,3/51,0.058823529411764705,0.02857142857142857,0.14507500299119816,29,0.2761904761904762,0.8468693284936479,0.7039789380317674,higher u predicts R/reference disagreement,52,54,0.49523809523809526,0.5142857142857142,0.01904761904761905,2,0,1,0,0,2,1
fit,group_representatives,economics,216,C2C,0.4,3.838539123535156e-05,selective,138,0.6388888888888888,3,3/138,0.021739130434782608,0.013888888888888888,0.05522474514368966,33,0.1527777777777778,0.8811061434012254,0.6054901714564191,higher u predicts R/reference disagreement,125,128,0.5787037037037037,0.5925925925925926,0.013888888888888888,3,0,0,1,0,2,0
fit,group_representatives,engineering,250,C2C,0.4,3.838539123535156e-05,selective,53,0.212,4,4/53,0.07547169811320754,0.016,0.16444182211130057,110,0.44,0.7662987012987014,0.6634164115724115,higher u predicts R/reference disagreement,100,103,0.4,0.412,0.012,3,0,1,0,0,0,0
fit,group_representatives,health,176,C2C,0.4,3.838539123535156e-05,selective,97,0.5511363636363636,1,1/97,0.010309278350515464,0.005681818181818182,0.04797208408344116,28,0.1590909090909091,0.9054054054054055,0.558542597827051,higher u predicts R/reference disagreement,90,90,0.5113636363636364,0.5113636363636364,0.0,0,0,1,0,0,1,1
fit,group_representatives,history,98,C2C,0.4,3.838539123535156e-05,selective,49,0.5,1,1/49,0.02040816326530612,0.01020408163265306,0.0931924714342012,13,0.1326530612244898,0.8755656108597285,0.6422151667228684,higher u predicts R/reference disagreement,41,42,0.41836734693877553,0.42857142857142855,0.01020408163265306,1,0,0,1,0,0,0
fit,group_representatives,law,247,C2C,0.4,3.838539123535156e-05,selective,78,0.3157894736842105,5,5/78,0.0641025641025641,0.020242914979757085,0.1300631984206031,73,0.29554655870445345,0.7500393638797039,0.5604154890241797,higher u predicts R/reference disagreement,65,67,0.2631578947368421,0.27125506072874495,0.008097165991902834,2,0,3,0,0,3,2
fit,group_representatives,math,347,C2C,0.4,3.838539123535156e-05,selective,101,0.2910662824207493,5,5/101,0.04950495049504951,0.01440922190201729,0.10126897166065246,127,0.3659942363112392,0.8235504652827488,0.6671912740687809,higher u predicts R/reference disagreement,137,140,0.39481268011527376,0.4034582132564842,0.008645533141210375,3,0,2,1,0,4,3
fit,group_representatives,other,238,C2C,0.4,3.838539123535156e-05,selective,118,0.4957983193277311,3,3/118,0.025423728813559324,0.012605042016806723,0.06439585183945712,41,0.1722689075630252,0.8357063266064133,0.45557315737626936,higher u predicts R/reference disagreement,112,114,0.47058823529411764,0.4789915966386555,0.008403361344537815,2,0,1,2,0,2,1
fit,group_representatives,philosophy,128,C2C,0.4,3.838539123535156e-05,selective,58,0.453125,5,5/58,0.08620689655172414,0.0390625,0.1727504227504208,28,0.21875,0.770357142857143,0.47462813029119,higher u predicts R/reference disagreement,58,55,0.453125,0.4296875,-0.0234375,1,4,0,2,0,0,1
fit,group_representatives,physics,334,C2C,0.4,3.838539123535156e-05,selective,89,0.26646706586826346,2,2/89,0.02247191011235955,0.005988023952095809,0.06905123642735853,148,0.4431137724550898,0.857581371694275,0.8152678491451473,higher u predicts R/reference disagreement,131,132,0.39221556886227543,0.39520958083832336,0.0029940119760479044,1,0,1,0,0,0,0
fit,group_representatives,psychology,205,C2C,0.4,3.838539123535156e-05,selective,132,0.6439024390243903,4,4/132,0.030303030303030304,0.01951219512195122,0.06799976276708089,24,0.11707317073170732,0.8439226519337016,0.5824942217489754,higher u predicts R/reference disagreement,126,126,0.6146341463414634,0.6146341463414634,0.0,2,2,0,0,0,1,0
fit,raw_rows_descriptive,biology,181,Text,0.4,3.838539123535156e-05,selective,123,0.6795580110497238,3,3/123,0.024390243902439025,0.016574585635359115,,23,0.1270718232044199,0.8958447991194276,0.552757927946673,higher u predicts R/reference disagreement,137,139,0.7569060773480663,0.7679558011049724,0.011049723756906077,2,0,1,0,0,3,0
fit,raw_rows_descriptive,business,202,Text,0.4,3.838539123535156e-05,selective,55,0.2722772277227723,1,1/55,0.01818181818181818,0.0049504950495049506,,44,0.21782178217821782,0.8506185270425778,0.6551248809805195,higher u predicts R/reference disagreement,86,86,0.42574257425742573,0.42574257425742573,0.0,0,0,1,0,0,4,0
fit,raw_rows_descriptive,chemistry,292,Text,0.4,3.838539123535156e-05,selective,73,0.25,1,1/73,0.0136986301369863,0.003424657534246575,,66,0.22602739726027396,0.8347412174845804,0.579168884364115,higher u predicts R/reference disagreement,105,105,0.3595890410958904,0.3595890410958904,0.0,0,0,1,2,0,3,0
fit,raw_rows_descriptive,computer science,105,Text,0.4,3.838539123535156e-05,selective,51,0.4857142857142857,2,2/51,0.0392156862745098,0.01904761904761905,,24,0.22857142857142856,0.8065843621399177,0.49698699191043433,higher u predicts R/reference disagreement,59,59,0.5619047619047619,0.5619047619047619,0.0,1,1,0,0,0,2,0
fit,raw_rows_descriptive,economics,216,Text,0.4,3.838539123535156e-05,selective,138,0.6388888888888888,6,6/138,0.043478260869565216,0.027777777777777776,,33,0.1527777777777778,0.8125517469779765,0.4019022895643748,higher u predicts R/reference disagreement,130,130,0.6018518518518519,0.6018518518518519,0.0,2,2,2,1,0,2,0
fit,raw_rows_descriptive,engineering,250,Text,0.4,3.838539123535156e-05,selective,53,0.212,0,0/53,0.0,0.0,,60,0.24,0.7846491228070176,0.46621874259333035,higher u predicts R/reference disagreement,114,114,0.456,0.456,0.0,0,0,0,0,0,0,0
fit,raw_rows_descriptive,health,211,Text,0.4,3.838539123535156e-05,selective,121,0.5734597156398105,6,6/121,0.049586776859504134,0.02843601895734597,,42,0.1990521327014218,0.8472104818258666,0.5118706309778894,higher u predicts R/reference disagreement,131,131,0.6208530805687204,0.6208530805687204,0.0,2,2,2,0,0,1,0
fit,raw_rows_descriptive,history,98,Text,0.4,3.838539123535156e-05,selective,49,0.5,4,4/49,0.08163265306122448,0.04081632653061224,,26,0.2653061224489796,0.7938034188034189,0.5697878736429498,higher u predicts R/reference disagreement,47,46,0.47959183673469385,0.46938775510204084,-0.01020408163265306,0,1,3,1,0,0,0
fit,raw_rows_descriptive,law,284,Text,0.4,3.838539123535156e-05,selective,89,0.31338028169014087,4,4/89,0.0449438202247191,0.014084507042253521,,80,0.28169014084507044,0.803860294117647,0.5965657346648989,higher u predicts R/reference disagreement,81,80,0.2852112676056338,0.28169014084507044,-0.0035211267605633804,0,1,3,0,0,4,0
fit,raw_rows_descriptive,math,347,Text,0.4,3.838539123535156e-05,selective,101,0.2910662824207493,7,7/101,0.06930693069306931,0.020172910662824207,,102,0.29394812680115273,0.7710084033613446,0.5913618898671461,higher u predicts R/reference disagreement,142,145,0.4092219020172911,0.41786743515850144,0.008645533141210375,5,2,0,1,0,4,0
fit,raw_rows_descriptive,other,238,Text,0.4,3.838539123535156e-05,selective,118,0.4957983193277311,3,3/118,0.025423728813559324,0.012605042016806723,,55,0.23109243697478993,0.8476900149031297,0.5661781353751362,higher u predicts R/reference disagreement,120,120,0.5042016806722689,0.5042016806722689,0.0,1,1,1,2,0,2,0
fit,raw_rows_descriptive,philosophy,128,Text,0.4,3.838539123535156e-05,selective,58,0.453125,2,2/58,0.034482758620689655,0.015625,,24,0.1875,0.8333333333333333,0.5149287634844938,higher u predicts R/reference disagreement,58,58,0.453125,0.453125,0.0,1,1,0,2,0,0,1
fit,raw_rows_descriptive,physics,335,Text,0.4,3.838539123535156e-05,selective,90,0.26865671641791045,3,3/90,0.03333333333333333,0.008955223880597015,,83,0.24776119402985075,0.7980015299292408,0.5325809590798474,higher u predicts R/reference disagreement,137,134,0.408955223880597,0.4,-0.008955223880597015,0,3,0,0,0,0,0
fit,raw_rows_descriptive,psychology,206,Text,0.4,3.838539123535156e-05,selective,133,0.6456310679611651,3,3/133,0.022556390977443608,0.014563106796116505,,32,0.1553398058252427,0.86566091954023,0.47657059706485133,higher u predicts R/reference disagreement,132,129,0.6407766990291263,0.6262135922330098,-0.014563106796116505,0,3,0,0,0,1,0
fit,raw_rows_descriptive,biology,181,C2C,0.4,3.838539123535156e-05,selective,123,0.6795580110497238,5,5/123,0.04065040650406504,0.027624309392265192,,25,0.13812154696132597,0.8947435897435897,0.6382764089409623,higher u predicts R/reference disagreement,130,133,0.7182320441988951,0.7348066298342542,0.016574585635359115,3,0,2,0,0,3,2
fit,raw_rows_descriptive,business,202,C2C,0.4,3.838539123535156e-05,selective,55,0.2722772277227723,3,3/55,0.05454545454545454,0.01485148514851485,,74,0.36633663366336633,0.7858952702702703,0.6155807812927254,higher u predicts R/reference disagreement,71,73,0.35148514851485146,0.3613861386138614,0.009900990099009901,2,0,1,0,0,4,3
fit,raw_rows_descriptive,chemistry,292,C2C,0.4,3.838539123535156e-05,selective,73,0.25,7,7/73,0.0958904109589041,0.023972602739726026,,129,0.4417808219178082,0.8029438341180387,0.7475226068387771,higher u predicts R/reference disagreement,98,101,0.3356164383561644,0.3458904109589041,0.010273972602739725,3,0,4,2,0,3,2
fit,raw_rows_descriptive,computer science,105,C2C,0.4,3.838539123535156e-05,selective,51,0.4857142857142857,3,3/51,0.058823529411764705,0.02857142857142857,,29,0.2761904761904762,0.8468693284936479,0.7039789380317674,higher u predicts R/reference disagreement,52,54,0.49523809523809526,0.5142857142857142,0.01904761904761905,2,0,1,0,0,2,1
fit,raw_rows_descriptive,economics,216,C2C,0.4,3.838539123535156e-05,selective,138,0.6388888888888888,3,3/138,0.021739130434782608,0.013888888888888888,,33,0.1527777777777778,0.8811061434012254,0.6054901714564191,higher u predicts R/reference disagreement,125,128,0.5787037037037037,0.5925925925925926,0.013888888888888888,3,0,0,1,0,2,0
fit,raw_rows_descriptive,engineering,250,C2C,0.4,3.838539123535156e-05,selective,53,0.212,4,4/53,0.07547169811320754,0.016,,110,0.44,0.7662987012987014,0.6634164115724115,higher u predicts R/reference disagreement,100,103,0.4,0.412,0.012,3,0,1,0,0,0,0
fit,raw_rows_descriptive,health,211,C2C,0.4,3.838539123535156e-05,selective,121,0.5734597156398105,1,1/121,0.008264462809917356,0.004739336492890996,,33,0.15639810426540285,0.9153898535921008,0.5745438576041568,higher u predicts R/reference disagreement,114,114,0.5402843601895735,0.5402843601895735,0.0,0,0,1,0,0,1,1
fit,raw_rows_descriptive,history,98,C2C,0.4,3.838539123535156e-05,selective,49,0.5,1,1/49,0.02040816326530612,0.01020408163265306,,13,0.1326530612244898,0.8755656108597285,0.6422151667228684,higher u predicts R/reference disagreement,41,42,0.41836734693877553,0.42857142857142855,0.01020408163265306,1,0,0,1,0,0,0
fit,raw_rows_descriptive,law,284,C2C,0.4,3.838539123535156e-05,selective,89,0.31338028169014087,5,5/89,0.056179775280898875,0.017605633802816902,,85,0.2992957746478873,0.7439255099024535,0.536180899782128,higher u predicts R/reference disagreement,72,74,0.2535211267605634,0.2605633802816901,0.007042253521126761,2,0,3,0,0,4,3
fit,raw_rows_descriptive,math,347,C2C,0.4,3.838539123535156e-05,selective,101,0.2910662824207493,5,5/101,0.04950495049504951,0.01440922190201729,,127,0.3659942363112392,0.8235504652827488,0.6671912740687809,higher u predicts R/reference disagreement,137,140,0.39481268011527376,0.4034582132564842,0.008645533141210375,3,0,2,1,0,4,3
fit,raw_rows_descriptive,other,238,C2C,0.4,3.838539123535156e-05,selective,118,0.4957983193277311,3,3/118,0.025423728813559324,0.012605042016806723,,41,0.1722689075630252,0.8357063266064133,0.45557315737626936,higher u predicts R/reference disagreement,112,114,0.47058823529411764,0.4789915966386555,0.008403361344537815,2,0,1,2,0,2,1
fit,raw_rows_descriptive,philosophy,128,C2C,0.4,3.838539123535156e-05,selective,58,0.453125,5,5/58,0.08620689655172414,0.0390625,,28,0.21875,0.770357142857143,0.47462813029119,higher u predicts R/reference disagreement,58,55,0.453125,0.4296875,-0.0234375,1,4,0,2,0,0,1
fit,raw_rows_descriptive,physics,335,C2C,0.4,3.838539123535156e-05,selective,90,0.26865671641791045,2,2/90,0.022222222222222223,0.005970149253731343,,148,0.4417910447761194,0.8583429686370863,0.8152678491451473,higher u predicts R/reference disagreement,132,133,0.3940298507462687,0.3970149253731343,0.0029850746268656717,1,0,1,0,0,0,0
fit,raw_rows_descriptive,psychology,206,C2C,0.4,3.838539123535156e-05,selective,133,0.6456310679611651,4,4/133,0.03007518796992481,0.019417475728155338,,24,0.11650485436893204,0.8444368131868132,0.5824231822036284,higher u predicts R/reference disagreement,127,127,0.616504854368932,0.616504854368932,0.0,2,2,0,0,0,1,0
cal,group_representatives,biology,327,Text,0.4,3.838539123535156e-05,selective,225,0.6880733944954128,8,8/225,0.035555555555555556,0.024464831804281346,0.0632380197502485,33,0.10091743119266056,0.8708513708513709,0.4735372451580162,higher u predicts R/reference disagreement,247,244,0.7553516819571865,0.746177370030581,-0.009174311926605505,2,5,1,1,0,5,0
cal,group_representatives,business,401,Text,0.4,3.838539123535156e-05,selective,114,0.28428927680798005,1,1/114,0.008771929824561403,0.0024937655860349127,0.04093575055116398,91,0.22693266832917705,0.7845622119815668,0.4357469839854711,higher u predicts R/reference disagreement,173,173,0.4314214463840399,0.4314214463840399,0.0,0,0,1,2,1,8,1
cal,group_representatives,chemistry,583,Text,0.4,3.838539123535156e-05,selective,124,0.21269296740994853,3,3/124,0.024193548387096774,0.005145797598627788,0.06133993235554627,161,0.27615780445969124,0.7501913396720732,0.4983555913764333,higher u predicts R/reference disagreement,211,212,0.36192109777015435,0.36363636363636365,0.0017152658662092624,2,1,0,3,0,4,0
cal,group_representatives,computer science,211,Text,0.4,3.838539123535156e-05,selective,92,0.43601895734597157,3,3/92,0.03260869565217391,0.014218009478672985,0.08212351374969476,48,0.22748815165876776,0.8310966257668713,0.5996216991283443,higher u predicts R/reference disagreement,96,96,0.4549763033175355,0.4549763033175355,0.0,1,1,1,2,0,1,0
cal,group_representatives,economics,432,Text,0.4,3.838539123535156e-05,selective,278,0.6435185185185185,7,7/278,0.025179856115107913,0.016203703703703703,0.04677329490732588,63,0.14583333333333334,0.867789392179636,0.5489810051594081,higher u predicts R/reference disagreement,281,281,0.6504629629629629,0.6504629629629629,0.0,3,3,1,1,1,4,1
cal,group_representatives,engineering,499,Text,0.4,3.838539123535156e-05,selective,125,0.250501002004008,0,0/125,0.0,0.0,0.02368095751033484,101,0.20240480961923848,0.8149161649833325,0.49836851247613445,higher u predicts R/reference disagreement,230,230,0.46092184368737477,0.46092184368737477,0.0,0,0,0,1,0,2,0
cal,group_representatives,health,352,Text,0.4,3.838539123535156e-05,selective,186,0.5284090909090909,4,4/186,0.021505376344086023,0.011363636363636364,0.04853378263777396,66,0.1875,0.8648813307904217,0.561404927303425,higher u predicts R/reference disagreement,211,210,0.5994318181818182,0.5965909090909091,-0.002840909090909091,1,2,1,1,1,3,0
cal,group_representatives,history,197,Text,0.4,3.838539123535156e-05,selective,117,0.5939086294416244,2,2/117,0.017094017094017096,0.01015228426395939,0.05283081097873654,24,0.1218274111675127,0.8619942196531791,0.4198055527269637,higher u predicts R/reference disagreement,103,104,0.5228426395939086,0.5279187817258884,0.005076142131979695,1,0,1,0,0,0,0
cal,group_representatives,law,495,Text,0.4,3.838539123535156e-05,selective,161,0.32525252525252524,7,7/161,0.043478260869565216,0.014141414141414142,0.08011060234843255,128,0.2585858585858586,0.7866357288828337,0.5143603570617875,higher u predicts R/reference disagreement,189,192,0.38181818181818183,0.3878787878787879,0.006060606060606061,4,1,2,0,0,8,0
cal,group_representatives,math,693,Text,0.4,3.838539123535156e-05,selective,184,0.26551226551226553,9,9/184,0.04891304347826087,0.012987012987012988,0.08380078118871886,202,0.29148629148629146,0.7681434131193161,0.5472970857945112,higher u predicts R/reference disagreement,262,262,0.37806637806637805,0.37806637806637805,0.0,4,4,1,3,0,2,1
cal,group_representatives,other,476,Text,0.4,3.838539123535156e-05,selective,188,0.3949579831932773,7,7/188,0.03723404255319149,0.014705882352941176,0.06879610327080644,115,0.2415966386554622,0.81145369143683,0.5399910302173362,higher u predicts R/reference disagreement,219,217,0.46008403361344535,0.45588235294117646,-0.004201680672268907,0,2,5,0,0,3,0
cal,group_representatives,philosophy,257,Text,0.4,3.838539123535156e-05,selective,107,0.4163424124513619,6,6/107,0.056074766355140186,0.023346303501945526,0.10767195607675922,48,0.1867704280155642,0.7769138755980861,0.398005281393993,higher u predicts R/reference disagreement,116,117,0.45136186770428016,0.45525291828793774,0.0038910505836575876,3,2,1,0,0,2,0
cal,group_representatives,physics,667,Text,0.4,3.838539123535156e-05,selective,187,0.280359820089955,3,3/187,0.016042780748663103,0.004497751124437781,0.04093902486358881,157,0.2353823088455772,0.8270388410141126,0.546383489927086,higher u predicts R/reference disagreement,275,276,0.4122938530734633,0.41379310344827586,0.0014992503748125937,1,0,2,3,0,7,0
cal,group_representatives,psychology,410,Text,0.4,3.838539123535156e-05,selective,270,0.6585365853658537,7,7/270,0.025925925925925925,0.01707317073170732,0.04814327073993518,58,0.14146341463414633,0.8701753526645768,0.5166342700596713,higher u predicts R/reference disagreement,266,269,0.6487804878048781,0.6560975609756098,0.007317073170731708,5,2,0,0,0,2,0
cal,group_representatives,biology,327,C2C,0.4,3.838539123535156e-05,selective,225,0.6880733944954128,6,6/225,0.02666666666666667,0.01834862385321101,0.051951383381995356,48,0.14678899082568808,0.883923237753883,0.5619974705446408,higher u predicts R/reference disagreement,226,232,0.691131498470948,0.709480122324159,0.01834862385321101,6,0,0,1,0,5,2
cal,group_representatives,business,401,C2C,0.4,3.838539123535156e-05,selective,114,0.28428927680798005,3,3/114,0.02631578947368421,0.007481296758104738,0.06660805423766199,155,0.3865336658354115,0.8052976658798847,0.6808162519187082,higher u predicts R/reference disagreement,154,155,0.38403990024937656,0.3865336658354115,0.0024937655860349127,1,0,2,2,1,8,7
cal,group_representatives,chemistry,583,C2C,0.4,3.838539123535156e-05,selective,124,0.21269296740994853,12,12/124,0.0967741935483871,0.02058319039451115,0.15207730150591242,279,0.47855917667238423,0.7811144123750235,0.725616633290548,higher u predicts R/reference disagreement,191,195,0.3276157804459691,0.3344768439108062,0.00686106346483705,7,3,2,3,0,4,2
cal,group_representatives,computer science,211,C2C,0.4,3.838539123535156e-05,selective,92,0.43601895734597157,3,3/92,0.03260869565217391,0.014218009478672985,0.08212351374969476,55,0.26066350710900477,0.8349650349650349,0.5455600731766617,higher u predicts R/reference disagreement,95,96,0.45023696682464454,0.4549763033175355,0.004739336492890996,1,0,2,2,0,1,1
cal,group_representatives,economics,432,C2C,0.4,3.838539123535156e-05,selective,278,0.6435185185185185,5,5/278,0.017985611510791366,0.011574074074074073,0.03744268912179589,60,0.1388888888888889,0.900649641577061,0.6129102676395844,higher u predicts R/reference disagreement,277,279,0.6412037037037037,0.6458333333333334,0.004629629629629629,3,1,1,1,1,4,2
cal,group_representatives,engineering,499,C2C,0.4,3.838539123535156e-05,selective,125,0.250501002004008,5,5/125,0.04,0.01002004008016032,0.0822603801906767,207,0.4148296593186373,0.7865627688438885,0.6717852966790481,higher u predicts R/reference disagreement,189,193,0.3787575150300601,0.3867735470941884,0.008016032064128256,4,0,1,1,0,2,2
cal,group_representatives,health,352,C2C,0.4,3.838539123535156e-05,selective,186,0.5284090909090909,4,4/186,0.021505376344086023,0.011363636363636364,0.04853378263777396,67,0.1903409090909091,0.865566902330453,0.4919622545101471,higher u predicts R/reference disagreement,192,196,0.5454545454545454,0.5568181818181818,0.011363636363636364,4,0,0,1,1,3,3
cal,group_representatives,history,197,C2C,0.4,3.838539123535156e-05,selective,117,0.5939086294416244,1,1/117,0.008547008547008548,0.005076142131979695,0.03990288212806103,28,0.14213197969543148,0.8775359256128487,0.4593954788422191,higher u predicts R/reference disagreement,99,100,0.5025380710659898,0.5076142131979695,0.005076142131979695,1,0,0,0,0,0,0
cal,group_representatives,law,495,C2C,0.4,3.838539123535156e-05,selective,161,0.32525252525252524,8,8/161,0.049689440993788817,0.01616161616161616,0.08786825381714462,135,0.2727272727272727,0.7986316872427984,0.5811825851487757,higher u predicts R/reference disagreement,167,170,0.3373737373737374,0.3434343434343434,0.006060606060606061,3,0,5,0,0,8,8
cal,group_representatives,math,693,C2C,0.4,3.838539123535156e-05,selective,184,0.26551226551226553,14,14/184,0.07608695652173914,0.020202020202020204,0.11639026943575786,252,0.36363636363636365,0.7859122484972826,0.632772613775018,higher u predicts R/reference disagreement,225,230,0.3246753246753247,0.3318903318903319,0.007215007215007215,6,1,7,3,0,2,3
cal,group_representatives,other,476,C2C,0.4,3.838539123535156e-05,selective,188,0.3949579831932773,1,1/188,0.005319148936170213,0.0021008403361344537,0.024983458974026738,89,0.1869747899159664,0.8456144935110183,0.5210749518413264,higher u predicts R/reference disagreement,208,207,0.4369747899159664,0.43487394957983194,-0.0021008403361344537,0,1,0,0,0,3,3
cal,group_representatives,philosophy,257,C2C,0.4,3.838539123535156e-05,selective,107,0.4163424124513619,1,1/107,0.009345794392523364,0.0038910505836575876,0.043567053938272766,61,0.23735408560311283,0.843802275008364,0.5129375891519125,higher u predicts R/reference disagreement,111,111,0.43190661478599224,0.43190661478599224,0.0,0,0,1,0,0,2,2
cal,group_representatives,physics,667,C2C,0.4,3.838539123535156e-05,selective,187,0.280359820089955,10,10/187,0.053475935828877004,0.014992503748125937,0.0890187659361901,272,0.4077961019490255,0.8148966865227103,0.6993700238561302,higher u predicts R/reference disagreement,254,258,0.3808095952023988,0.3868065967016492,0.005997001499250375,4,0,6,3,0,7,5
