population,pair,dataset,split,n,action,old_f,old_gain,old_harm,old_zero_gain,old_invalid_pair,old_invalid_flip,old_historical_direction_diagnostic,D1_f,D1_gain,D1_harm,D1_zero_gain,D1_invalid_pair,D1_invalid_flip,D1_historical_direction_diagnostic,V2_f,V2_gain,V2_harm,V2_zero_gain,V2_invalid_pair,V2_invalid_flip,V2_historical_direction_diagnostic,old_to_V2_f_changed,old_to_V2_invalid_flip_changed,D1_to_V2_f_changed,D1_to_V2_invalid_flip_changed
full,large,obqa,dev,742,acw,10,3,3,4,3,3,0.0,10,3,3,4,3,3,0.0,10,3,3,4,3,3,0.0,0,0,0,0
panel,large,obqa,dev,128,receiver_only,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
panel,large,obqa,dev,128,text,12,10,1,1,0,0,0.6428571428571429,12,10,1,1,0,0,0.6428571428571429,12,10,1,1,0,0,0.6428571428571429,0,0,0,0
panel,large,obqa,dev,128,c2c,16,3,9,4,3,3,-0.3333333333333333,13,3,6,4,0,0,-0.2,13,3,6,4,0,0,-0.2,3,3,0,0
panel,large,obqa,dev,128,acw,2,1,0,1,0,0,0.25,2,1,0,1,0,0,0.25,2,1,0,1,0,0,0.25,0,0,0,0
full,large,arc,train,1119,receiver_only,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
full,large,arc,train,1119,text,44,28,13,3,0,0,0.32608695652173914,44,28,13,3,0,0,0.32608695652173914,44,28,13,3,0,0,0.32608695652173914,0,0,0,0
full,large,arc,train,1119,c2c,112,15,79,18,66,66,-0.5614035087719298,52,16,24,12,3,3,-0.14814814814814814,52,16,24,12,3,3,-0.14814814814814814,60,63,0,0
full,large,arc,train,1119,acw,8,1,4,3,2,2,-0.3,8,1,4,3,3,3,-0.3,8,1,4,3,3,3,-0.3,0,1,0,0
panel,large,arc,train,256,receiver_only,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
panel,large,arc,train,256,text,7,5,2,0,0,0,0.3333333333333333,7,5,2,0,0,0,0.3333333333333333,7,5,2,0,0,0,0.3333333333333333,0,0,0,0
panel,large,arc,train,256,c2c,24,4,17,3,14,14,-0.5,10,4,5,1,0,0,-0.08333333333333333,10,4,5,1,0,0,-0.08333333333333333,14,14,0,0
panel,large,arc,train,256,acw,2,0,2,0,0,0,-0.5,2,0,2,0,1,1,-0.5,2,0,2,0,1,1,-0.5,0,1,0,0
full,large,arc,validation,299,receiver_only,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
full,large,arc,validation,299,text,15,10,4,1,0,0,0.35294117647058826,15,10,4,1,0,0,0.35294117647058826,15,10,4,1,0,0,0.35294117647058826,0,0,0,0
full,large,arc,validation,299,c2c,23,4,17,2,12,12,-0.52,12,4,6,2,0,0,-0.14285714285714285,12,4,6,2,0,0,-0.14285714285714285,11,12,0,0
full,large,arc,validation,299,acw,1,1,0,0,0,0,0.3333333333333333,1,1,0,0,0,0,0.3333333333333333,1,1,0,0,0,0,0.3333333333333333,0,0,0,0
panel,large,arc,validation,128,receiver_only,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
panel,large,arc,validation,128,text,7,4,2,1,0,0,0.2222222222222222,7,4,2,1,0,0,0.2222222222222222,7,4,2,1,0,0,0.2222222222222222,0,0,0,0
panel,large,arc,validation,128,c2c,13,3,9,1,6,6,-0.4,8,3,4,1,0,0,-0.1,8,3,4,1,0,0,-0.1,5,6,0,0
panel,large,arc,validation,128,acw,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
full,small,obqa,train,3466,receiver_only,0,0,0,0,159,0,0.0,0,0,0,0,159,0,0.0,0,0,0,0,159,0,0.0,0,0,0,0
full,small,obqa,train,3466,text,1575,632,385,558,324,280,0.1566265060240964,1575,632,385,558,324,280,0.1566265060240964,1575,632,385,558,324,280,0.1566265060240964,0,0,0,0
full,small,obqa,train,3466,c2c,1640,762,325,553,164,164,0.2661388550548112,1637,761,323,553,161,160,0.2672361195851129,1638,762,323,553,160,160,0.2676829268292683,2,4,1,2
full,small,obqa,train,3466,acw,240,33,53,154,338,182,-0.08264462809917356,240,33,53,154,338,182,-0.08264462809917356,240,33,53,154,338,182,-0.08264462809917356,0,0,0,0
panel,small,obqa,train,256,receiver_only,0,0,0,0,8,0,0.0,0,0,0,0,8,0,0.0,0,0,0,0,8,0,0.0,0,0,0,0
panel,small,obqa,train,256,text,107,53,22,32,16,16,0.28440366972477066,107,53,22,32,16,16,0.28440366972477066,107,53,22,32,16,16,0.28440366972477066,0,0,0,0
panel,small,obqa,train,256,c2c,128,58,29,41,8,8,0.2230769230769231,128,58,29,41,8,8,0.2230769230769231,128,58,29,41,8,8,0.2230769230769231,0,0,0,0
panel,small,obqa,train,256,acw,13,3,3,7,16,8,0.0,13,3,3,7,16,8,0.0,13,3,3,7,16,8,0.0,0,0,0,0
full,small,obqa,dev,742,receiver_only,0,0,0,0,25,0,0.0,0,0,0,0,25,0,0.0,0,0,0,0,25,0,0.0,0,0,0,0
full,small,obqa,dev,742,text,339,136,75,128,57,51,0.17888563049853373,339,136,75,128,57,51,0.17888563049853373,339,136,75,128,57,51,0.17888563049853373,0,0,0,0
full,small,obqa,dev,742,c2c,351,147,67,137,26,26,0.22662889518413598,350,147,66,137,25,25,0.23011363636363635,350,147,66,137,25,25,0.23011363636363635,1,1,0,0
full,small,obqa,dev,742,acw,60,16,17,27,64,40,-0.016129032258064516,60,16,17,27,64,40,-0.016129032258064516,60,16,17,27,64,40,-0.016129032258064516,0,0,0,0
panel,small,obqa,dev,128,receiver_only,0,0,0,0,4,0,0.0,0,0,0,0,4,0,0.0,0,0,0,0,4,0,0.0,0,0,0,0
panel,small,obqa,dev,128,text,49,21,11,17,8,8,0.19607843137254902,49,21,11,17,8,8,0.19607843137254902,49,21,11,17,8,8,0.19607843137254902,0,0,0,0
panel,small,obqa,dev,128,c2c,58,22,12,24,4,4,0.16666666666666666,58,22,12,24,4,4,0.16666666666666666,58,22,12,24,4,4,0.16666666666666666,0,0,0,0
panel,small,obqa,dev,128,acw,7,1,3,3,10,6,-0.2222222222222222,7,1,3,3,10,6,-0.2222222222222222,7,1,3,3,10,6,-0.2222222222222222,0,0,0,0
full,small,arc,train,1119,receiver_only,0,0,0,0,109,0,0.0,0,0,0,0,109,0,0.0,0,0,0,0,109,0,0.0,0,0,0,0
full,small,arc,train,1119,text,578,243,137,198,196,156,0.18275862068965518,578,243,137,198,196,156,0.18275862068965518,578,243,137,198,196,156,0.18275862068965518,0,0,0,0
full,small,arc,train,1119,c2c,618,326,83,209,120,118,0.3919354838709677,617,328,83,206,115,113,0.39579967689822293,615,328,81,206,113,111,0.40032414910858993,3,7,2,2
full,small,arc,train,1119,acw,140,19,31,90,212,109,-0.08450704225352113,140,19,31,90,212,109,-0.08450704225352113,140,19,31,90,212,109,-0.08450704225352113,0,0,0,0
panel,small,arc,train,256,receiver_only,0,0,0,0,20,0,0.0,0,0,0,0,20,0,0.0,0,0,0,0,20,0,0.0,0,0,0,0
panel,small,arc,train,256,text,131,55,30,46,38,30,0.18796992481203006,131,55,30,46,38,30,0.18796992481203006,131,55,30,46,38,30,0.18796992481203006,0,0,0,0
panel,small,arc,train,256,c2c,132,73,14,45,22,21,0.44029850746268656,132,74,14,44,21,20,0.44776119402985076,131,74,13,44,20,19,0.45864661654135336,1,2,1,1
panel,small,arc,train,256,acw,37,2,10,25,49,29,-0.20512820512820512,37,2,10,25,49,29,-0.20512820512820512,37,2,10,25,49,29,-0.20512820512820512,0,0,0,0
full,small,arc,validation,299,receiver_only,0,0,0,0,32,0,0.0,0,0,0,0,32,0,0.0,0,0,0,0,32,0,0.0,0,0,0,0
full,small,arc,validation,299,text,145,55,39,51,43,33,0.10884353741496598,145,55,39,51,43,33,0.10884353741496598,145,55,39,51,43,33,0.10884353741496598,0,0,0,0
full,small,arc,validation,299,c2c,161,69,24,68,36,34,0.27607361963190186,160,69,24,67,35,33,0.2777777777777778,160,69,24,67,35,33,0.2777777777777778,1,1,0,0
full,small,arc,validation,299,acw,38,8,8,22,60,30,0.0,38,8,8,22,60,30,0.0,38,8,8,22,60,30,0.0,0,0,0,0
panel,small,arc,validation,128,receiver_only,0,0,0,0,17,0,0.0,0,0,0,0,17,0,0.0,0,0,0,0,17,0,0.0,0,0,0,0
panel,small,arc,validation,128,text,63,18,15,30,22,19,0.046153846153846156,63,18,15,30,22,19,0.046153846153846156,63,18,15,30,22,19,0.046153846153846156,0,0,0,0
panel,small,arc,validation,128,c2c,70,27,13,30,20,18,0.19444444444444445,70,27,13,30,20,18,0.19444444444444445,70,27,13,30,20,18,0.19444444444444445,0,0,0,0
panel,small,arc,validation,128,acw,15,4,3,8,27,12,0.058823529411764705,15,4,3,8,27,12,0.058823529411764705,15,4,3,8,27,12,0.058823529411764705,0,0,0,0
