group_sha256,representative,id,selected_unique
03b974eacc58c8e59beb7323e7a60b17afc73136f2345c868bacd05da7fe3e2b,12-133,12-133,True
98639f15dafc57e4889f6846958d89383f54dc14bacb0a17af42f5ee86a4c902,8-421,8-421,True
3a5887596423963eff2f28a0638a739dea9707a0d1032428ebea0e6336e86692,10-990,10-990,True
f4f74e9553eb52ad7dfff4b685ce42236ebeb95da5b8c624a2d3155e41db78e2,12-954,12-954,True
bd34c2867a17bac4a516fa7ee3be5bec42fc32fd8c4a72e17fac9b71be22ef63,14-770,14-770,True
dc35b40c8a7d431b48d981d7e6d3e83df06d06745ff27138f9ec15da08148c55,14-1156,14-1156,True
e626228c25499b93184bc2e611058464ba28ef619c220488a04b3bfb2c2c7713,10-589,10-589,True
a85268ae1e6227df9804d08afa7fa7b03e863a0e735a9e91507bbe43e05b652f,10-1167,10-1167,True
9aa7e9db469bf49df0091f6fdcba19afdf1406f93e6e64d4cd94300eef977e1b,14-1225,14-1225,True
4a261a89d00e05a83ea0f21b6b10b1f8d5763ddd92a4b10c6df4b3c19fa2a766,14-413,14-413,True
ff0d1ad7cd39593eba596728699df5ecfec115126498d6752421a1b42f04b4ce,10-727,10-727,True
55b7bdfe0af459263a8aae3a37934cce723405f225ee72fd6e4d71650680e8d3,11-78,11-78,True
4586ed2128e48d7dc61433df79d827a8519a4cf141d09909516512cbc80bb523,14-1015,14-1015,True
be40a0157ead0a73b005890b404c23debedb947298890e3ff1278b5359e713e1,10-1103,10-1103,True
9612b3f0491fa1775d5eb3b225c87f9659cd133e946a121406b9ebc64a02a87f,8-219,8-219,True
aff6adab4fdf07e0ee3dafc6de1361bc452885978395f95fed03562bc5477ee8,10-863,10-863,True
e612c73d011a449b7e3d51ed8c51096a0e7a1ef120a6e1d3534b8d4e08b34a97,9-295,9-295,True
2d3fd0cc864ab145779e59b5265be49f695767313d10e1d89f73340222df8758,12-422,12-422,True
68402ec7812d8c9013c0625c15e1288e2e193ed11aa8e2542d6d324b848e242e,14-406,14-406,True
dbd7bf1afd56afc68eba6118daf67a2bb8b975364ff15dfb8c796580367e39a2,12-238,12-238,True
6bd1b7ce0d2fac09e36a8e83f433aad56b0a2f6ed8387996dc65221cfb893c7b,11-48,11-48,True
6f498ed8438e37a72b940efede7bb757fc0d4dfc41acc6001e1370a9c4e8f6f4,10-1151,10-1151,True
6395584153a27d43e335adb8494141721c592d509f9266a5e28d170244fb21e4,10-835,10-835,True
1e69421d15e1b5369cc8f8dc3e0c31009f4520c3eca940bcd7c56665c2475789,11-557,11-557,True
61207835ee7dc152a209062c7cdbf579064b12c0efe21be834352cf004742c3c,1228,1228,True
981e5c37a4d9277abf6e0bad8c5938b9dcaaca5d57528e39f57fedd143095579,14-6,14-6,True
93fb9bc7c8d9e351026ed1b447be2b35f5191a1c33c5ed60b7cf15213dd6dafe,1770,1770,True
07eb225fa9bba0001b4570c5f892ade00c2183b3f44a10ec12a87f0f988226a5,1276,1276,True
ae07fdaf659ab916e6dd1c1035f52f17fb55556e9daa43ea3d76956733a19c90,11-500,11-500,True
3cb1a2139b7a782cd61e299525fc17dab6a51029eb75b72610e6cc6ce228dcbe,12-643,12-643,True
79acb79b9da3758ec1140e881d7ffa4721ec47af30f5e8d32c14ec488742e245,1172,1172,True
415925ff31d4660b48d428cdfb5e4297d7616e8260b4f0e7c0925b06e706e34e,11-269,11-269,True
7ec8c53a78fa698e6d69ca97661f708338747a536de710024fe6b7b7965334a2,10-237,10-237,True
db25b39bd002a456a15e8610f4b505207859ddb3c4aed96d84e347a2fb3a79c8,14-1298,14-1298,True
5cf4d5d75e76f520df9a28b6801ff0a8e4e4ad46365d0087325dc86397af0d7a,13-795,13-795,True
dd57cd119c803a8f1fa4b736205ed8ba84468fe31669406cd30821056587daa6,12-176,12-176,True
d17451768f4113286455e6839933cbeacc33de522f6a8d41cab88df986a79450,13-636,13-636,True
ab957e76fd20d717437214ec931a8b5f76be461132ee00fe44fd3d98ae64121a,7-783,7-783,True
4c74addae56a9f41b238eaaddc83b798f3540214a6209de55bf12f2a5f864dfd,10-1185,10-1185,True
c609f104b651913ba50b009341b334fffb7a75e87296bc23c99b8b68a4fce275,14-1141,14-1141,True
2b1a87840c0577216999f6943297f1b9daf661e06e95d0ab28decd70a85dddce,14-836,14-836,True
ed2ad98dc435c41fc28a540e5fa5d42193200f66012fb49d237b94fa0fe89656,11-97,11-97,True
28c77ced10c8c02c691c6af413924e535d9c4711fc572ff61f08a3cd5eff0379,10-1156,10-1156,True
12cf3bae43db102211419947ebfa01c1a3f3f13f7cb1df0468ef5f5aae28fc28,10-204,10-204,True
7defc3e5c445332a9b3828cb6a1fa5ab20a7462151ec2824fe6ab2a5d5ff1b91,14-952,14-952,True
0e221fe167419f80ef04561bbfbcf32fd72b7d77cf743d8a944ef36fc18a24b2,14-935,14-935,True
3f1c0c00667d45fcf118df4dafe7c004548197bb53f0724ee1b635c1ea893f72,14-1413,14-1413,True
c4a0a63dec752ef1e97a16f5c4cf5846a84f67e945438d097d39c4888d199d65,14-802,14-802,True
8f600e29b28bc3bf37e070e40c01aec67cc95bd0b870fec01bb7409636351bb9,11-513,11-513,True
df174d8523c97d001b85f87b257e9e68977a5fa5367cb5bc7b2510695f7e4899,13-865,13-865,True
3f2ff821fee54c04a16fc2879e1c83da3e8adc5d609259594bedd8ec8bd9ddcd,11-346,11-346,True
f7deae89b52fa6569ea7b368f985fe633acb70360726a30d6ba11a511d8d4a54,10-370,10-370,True
01db908aaadc59485ce02feb1a9b8004439ba4765fab28bd3570c2d6ba25c218,12-1031,12-1031,True
fcecdf66f06de622f2f3f4820ba01ad827afd33eb7369832df6a6d35722fc3ea,11-305,11-305,True
87a43ff3dff8590233f21b01bde8a23b6b7c780e32411d4d8f9ba49ddda27a6d,9-748,9-748,True
d378bf82720542632b342bb00f708d8bfa12835d467324893d49ad324a927457,13-1025,13-1025,True
236f3f1256c5b4ae146137e45cdebd0ac65f440a714e7977fdbde74dd7984156,12-517,12-517,True
bd3d284322d03b3db5583b4fd3d4b2ace0707d459768ed1825909f01c88f3f1b,11-272,11-272,True
e2ce2c85ddb6dc3b407c21a78141b39a45da93e9cf21e2e2cc7af753a0aba12d,12-24,12-24,True
75c770a1e367e3c91efff29af440721e2b36b548a1bc78a7bd13d16ae07b08dd,13-228,13-228,True
d4977d2a0dcea950600a63bb4bb1609fc1f615e55b35d1f2c3ab56aed81ce8c8,14-72,14-72,True
9aacafbff06153941554ebe880feb10c06f66560b9d0c5630f9fb14e3871c6f4,10-944,10-944,True
acab6c0d7ad57e211da19419ed308a89408889ed81476af7f6c1cb944ff0d9a4,10-1118,10-1118,True
bd9b7f06ea07f0508cc63c2fa16a9438c07f14a309a49cfa50d612f1e3dad1e0,10-595,10-595,True
a4d5e996dc93118a98295bdc3ba86015ca92454e31180e171fe5d0a98bb3de2c,13-1057,13-1057,True
c7184828874add8937111c6643f4f9eacc48595e9e6253f986f6d1e55fa3744b,13-805,13-805,True
68036474fc8cd2e771064c8e01d36ee7aa2d1694169b0312b3e99e7d42d5dc02,14-635,14-635,True
e8ab09c0a15d9aa90a38b2e44aadc29c8d706805ede7a55ad2860a774a59c951,1163,1163,True
8b05b3f3b2aa169492ea34a3bd8552b5fe0b86e8038ac46cd855f0f01ba3660b,12-779,12-779,True
c3979b7a5511b3acbcbc0accf16dc75faff980bcb3f7c40d36289045c5fc6fc3,10-1140,10-1140,True
813e98b9e64cf357c8855689d827e83071e0926d476b19ece3a71bc2eced42fa,10-6,10-6,True
d9941b4dc06450d2a6d16b71d817df41192dbcfb5d7bace17acc891e47650190,12-51,12-51,True
69181b2374666a54583b32bcfa0c14c24b721884b156be3284635b45ad8c9872,11-23,11-23,True
46ff19a5b1adbb75365d8cd71fdf9baa04f585980b391282abba8fc335a891cc,1722,1722,True
3c4da89f8bec9a5fff8e9145d7c4151ea66374ab955481c9c0641ad18406ffd2,1768,1768,True
223d76a0bc44a7ff30a27f4108ba223d66e40513f606fefe571c8c59777f00dd,7-521,7-521,True
ff32174e24be5ee00a5ac683f5dcce6946c915f0b5078337da011880abdae483,14-682,14-682,True
24792ee22e6b8110d00a4613ba2ef32f3e9f35c804fdbd620239d65403c2d61d,7-1110,7-1110,True
4e6a4c1437717692c68287fa538a3dd5056142b438e7f46dc65354de615751af,11-562,11-562,True
b88e36aa3a6e17e2f8e63f4dcd3a1468efde14affeb7a16b556ae9b624db1c93,11-165,11-165,True
36e5091913badea2fd1a01b25626b90acfe04310023b1b76e5246cde79d6a797,9-443,9-443,True
fd6bad082542432be11cd836ee8b7b826477b145669b64e46b55c7f1ecbdff44,10-138,10-138,True
135ee8d626d448f291d06f13532db84338a0b715ba3355981ccb2475e9a388b3,11-107,11-107,True
066c9bc2b3e71353b87e90116cfccd43aa08060da21ffe77be00261b9c4d6d89,12-471,12-471,True
cd2080814b6b45c52464fef011a4b1875715cae1c58707ddc4e5381e8f7a97fc,14-44,14-44,True
dbd5cd4273d9605f6d46f76f723b7cba9f5489c63486828d07f9bad700ad01c4,8-295,8-295,True
08c677fe7e7542eadffdc66c010932029158cc8d8faade1cc6c000c9c2ebcf0e,7-412,7-412,True
ecfb512b33c0e85eaca308104e68488c99a7c2a6386328691ded438415dd9e5e,10-145,10-145,True
ea7312817707b726ed564cb8a51c5a2801af69761566454c7c1809a067391235,10-197,10-197,True
08d123ac91bee17fda6df2f48b14050f1dbf042051a4706920a21a2052450b18,10-710,10-710,True
18e97eb625c6b3bb4b41aec00a6094ae3743f8c5ab25bb192d9000c7ce680be4,14-1363,14-1363,True
b88959a68f073c1eeddb96c4c96af840c4e5dd9f534f970c7c5de92bfda73b18,14-972,14-972,True
56cb897c25ee5c85e2b07a0a596c2c9cb5c33b5b4b75d883e50a0cc085caaa09,10-485,10-485,True
d34e61a024ef59bb51abe846fd64f0f3319abc5dec9f186cce6b6688aee26659,12-415,12-415,True
694c9da367c0584c26f2f8c9853b5372686566349afbc35f333bc7122a5c2485,7-824,7-824,True
ed970ed101c0e7556e4a9f660e8a7a2d33a533736ead44ac3fd6918299c997d8,7-532,7-532,True
b329fbf73dc8f79b715f48668bd797b6141b78e8e72c573d6cb61c9159e1d0d5,13-843,13-843,True
104fdf2c3db60296c24377f284bf6dce7fbdfacf391b2306bcfc75e0dd26009a,11-435,11-435,True
7270f4850cc35d4f61e56b45715b03f5a0a21eb1dcbb5047be9773dbdc5dbbe7,12-226,12-226,True
83e03c5121f16c356af613c62cf3f1f00a0e1f15253204d302914aad457dccdc,10-811,10-811,True
464d5844a402b7bab4556e89028498fd1f06c2d1cb6e62949f15bc6286259558,14-1430,14-1430,True
899e521358f9fea0b140925b54a58738da3c4bff9601e659366d253f0f979f9d,10-935,10-935,True
81d89cd8944ea20c7d0301acc20747573bd6c1326a5543e9e0abb59b841a26ba,9-1035,9-1035,True
f212a1c8bf24c349483f16194ecc935d9df2d0b918fb53ccda3c82a57165dbe1,10-1060,10-1060,True
e56550653bc75354b1e2f9f53e453d78b6ef6c9f25f85912e5528dde03c85725,14-509,14-509,True
56824d8c984d4eafd931eb0b8430c85395c4893395805c6576e9f37d78d2dc97,11-459,11-459,True
18c9e8c395be8bf9d7d9654600e9c729841504b7c2eac9e18dd4d45006f3b7a1,14-1386,14-1386,True
16b79a9e31fbd3eddb68bd4efe671c139a92497aa084b2bbdad6f958d0e3dab0,9-1143,9-1143,True
e3d5a823117a2da1d21aa241ec91130fcae0ed21578baefbe4387a1f8c7dc242,10-833,10-833,True
b7cf1e12738a7910b60740da9f9e61aed959cae9836528b06824b346e7296cbc,12-1147,12-1147,True
b16b0708cd448fe8037afb126378446ed7b7bfc81ed445e7f39774764a2bfb56,10-498,10-498,True
aa2f3ead6d06624ef66fffbddbee52be1a4f781e3e0271b219f6fb9c88cf72e0,10-985,10-985,True
9713778107d5150bd9f10ea5fb1a847eade742c6916d855855d815f236bfa468,12-735,12-735,True
08f1ef364ac7054c033dc6451a907d558545b41d3c3774973ae4879fe4b4af3a,7-190,7-190,True
4c707de9c5470b53af4d92dc353913769efd11458eda591b364449a235dc7583,13-615,13-615,True
6b0f5fba695cb0fa95008f80c444a60ab4b40093c6593bdadf2551a592e4a4be,13-574,13-574,True
7e3aa04fafe4b9a30c4172618f79513c4114eddd062c8f2c3e8770d5b8168e2c,14-178,14-178,True
cc84500358d6608a4349e4983c5d70727e4e13f46950960aba431bc29cecb76c,10-343,10-343,True
4e0cc7b7c6a1c40adcf1fe8c923d9b1b75dbbb2c426b9d93dfc559b3dbb83ea7,10-674,10-674,True
e251e8e184e948fa683f96847495b7f151f363984c72c90e2ba65dc1f8ed7fcb,11-614,11-614,True
d35e67d87c5e058895cdac735fb1d4139836bb84e071248a1185ce22fca3a778,10-482,10-482,True
7fa5603c34d25645d318e023180b1fb8a2d8c501ef92711f0627a6f777541d41,10-183,10-183,True
0c5bece5327bd7d92910e3bc01299442c95e6f395c1b70e050b65c4206fc5413,7-467,7-467,True
4c5b7c11f4ea672d89961bd5a06bf73a0be1a469e32baa91fca14b5bfd23842b,11-92,11-92,True
89d4b2ce9b94049b386346f6dd8d577c64617b74fc5e54442b4b6cc13b7e0cca,11-89,11-89,True
a7055f108201ea084aba5325a185ad9e98164ad08f53417365770a362499cda7,11-625,11-625,True
70ccdc5d5a516ed7993683d3cc9711876b9957cc6301e7996da3c2181227e9a0,11-658,11-658,True
0e8d3fe2607a431999c13309c2fe89ec88b8b927f12cdd6dec4cba722d4c7df6,11-530,11-530,True
a3b9e6ad5dd5cf05c267c7e2563572c91a4293a2c014fb6c61193a683fa7d069,11-28,11-28,True
b51603f62b5f8a20f7bd592729f38f459af65c6a151a8e2ce70e36a7721f5135,11-253,11-253,True
743c05e8563e19ff8288af72f12614b7302f0edb8f3be1cadd930775553c7b61,1091,1091,True
dfbbdae760e848183deb3b20a71d0e7331cc09aad45388bc99fe92458d495e58,13-809,13-809,True
48222943d1947a80c2d6c2754b14e6c8e6485c8cd55878492997b0ddf7dbef1f,8-427,8-427,True
88901aa69ae1a2f43474fec19ff9bfea348696c927835b99b88c43de339cb33e,10-519,10-519,True
574152b3f3cf7b63d13dfbd8a6c71bd7376f99a6d0f3d35db16d9ab090a7a4fb,10-1221,10-1221,True
17d49cf363ad697930536e743a6daa092c7ee3c75ec92e87d5555e8ed6e928bf,11-217,11-217,True
1000a04f039e9c8207fb126070ce6ead823c822b0f7f9959ea531d20cb0487f9,12-182,12-182,True
0a2745512b0b74954988d2f8b55eecd6113e8609bf09b58899ef6153fbb4e822,8-20,8-20,True
c525b57f2fc4460593d745990d6b14b03f6584a7f61fe000207b586f17cbd191,12-864,12-864,True
82996db3d0f76fe9eec0a10ee496924dff502169a9d83eaf1fd7eac14cf2a93c,7-368,7-368,True
103128d7ee3a32aec559ac205fee688ddbe3becfdad9c75011abcdf05b48a1e4,714,714,True
c2758316f1319e051cb42e118940974eb4b7aab601c68355f3bda3d6f7ad1698,11-408,11-408,True
5d6630ac38e047d6233f3fbb6e6f2c88678c0200ba2a604d1ccda45d310151dc,12-769,12-769,True
3faa9ab932cc0741951c8d2c42d8ebbc181605578f6863e8880675e067522efd,8-82,8-82,True
62d669745ec957c40c7b39234aed794e23897c93307f15f9b828d6c4e63476ef,12-776,12-776,True
79b8c6c1056725e13f4485725c4471c0cdfbfe0ccc1cbcadd7764581982d41da,11-682,11-682,True
97dd8380c0147df3a43daf8a34cd72d48b389fb634605a0425961f3c283ff237,9-1028,9-1028,True
ef9aa4ae680319ca6377dc498dda4e91e770f51cb494e963dfb703190ed8cbee,7-243,7-243,True
95dbfe1463a145541396e7a37ca88b10d62b5174ca33ffa3f951601ac4ae7a5e,11-746,11-746,True
2d25b4a8a26aaf9b83a054833dbdc28bc76ac60ae3fb9a6601e1a17a7f28add6,10-930,10-930,True
eb6270a80a2582d40bd41f6209034b00b0e0bef50e3808650f2fed494b98711f,14-307,14-307,True
64606f5c43a7756e66f3ff8dcbe9ddfef9198741ba0d3215cbd59cd487f82c3a,1210,1210,True
878a9030df144abbc7b48418dca9d04b6c6cf1b4239b906739b3be3a58f83f0f,14-990,14-990,True
9a584cefc5255e6972c1f047a96ff65ba4229353a360ba57d910d55314765ddb,10-297,10-297,True
5f8c56950942555678d0c7727a8cff28ad5f8c3e0ba61408ee99dbadaf5f1f1c,10-147,10-147,True
af2c7cde821181b811c2b790a4c97df2f4dbf243895fe022b6816fe04abf699d,10-618,10-618,True
f47bf20f649e68da54665bb7236533cc3f43ac93ab76d60420299b6d75d3cf78,8-184,8-184,True
6cc2535b4d9faf46449811d75b0aa060137db2149b62e16321e6ad2b1b5d341a,14-1194,14-1194,True
9b292baf7a24ef854cd85b141f8ed1ede36c26f850212e8db4793818bf8b1105,10-381,10-381,True
38665cf59cd37348286ce03ce07a9e98837fad4f44ff4731087432e7e2ef466a,10-831,10-831,True
902d39716b5dcab4140b8a77e73fe1cde0387118bddc4eb35790936ff5794e25,12-178,12-178,True
1052150c0a1af82c667c7cd7a54507954391aeac4d5bd29d685ad8a9b48da98b,12-714,12-714,True
170e301a5e77847ba31422d39e01c24d535ca6e9736591a6a4f217090321076c,11-44,11-44,True
95093118349f3de14fb8ae2dbd8a1e406aed7d86e3ab52724685ab38bfb42bb7,12-472,12-472,True
ab72292ea530bd5ee8b47bb47fa097143d0ea10c53918f0fadc854cf66f85ea1,11-39,11-39,True
836fd2b3b3aa2065eedf956a2b88efbd7807496e45056cbdc8ffd9d2f2df2916,1867,1867,True
14dfe96a8882956040c00d11236b2cb975c7241e3394faba61ec35a82de676a1,12-1145,12-1145,True
95609056e8fde4cae2820b9aa3a22a2be5d0da08b7a2ed27eff083ec0eda2edf,14-1416,14-1416,True
042a1350bb6cb9759e7c291b986675b430240470fa79323282c255bb6b5e9cb3,10-206,10-206,True
f28f879d0a0b7f368d32eb52c5caf5a7d645cedaa2cae473491a1c5b077b46c5,12-1162,12-1162,True
2a2812e569c385b93b4eb9d39cdbddae1ea65c9706fb9a0468eeae1f8d99c4e5,9-761,9-761,True
583480a5853bdd3bfa34ec7563255ac6d0180eb2e9355f63a0722849f9051d38,10-585,10-585,True
fde407f993bcb0ba949900551eaba9ea4217c34a9c3e7a473bc090cfa082a479,10-210,10-210,True
47392cb09025c1be69e892bcfe8b97afba92a78e1d272e055378e7615a384402,11-33,11-33,True
0d7fdd0f1422bcdf06e24f9154e0fdb11cb505c4ea3c1384467ed2c3fe35331d,10-74,10-74,True
506b4e29549be8db8c2ae645ab850e5b27e8cafdbaa1ee519d9ece39e7776153,14-1146,14-1146,True
f1edf6caa3c00314386e5eaf239c2ac7d602d7c94241937df5fa0639775bc801,12-780,12-780,True
91e99abaf7d87baa321f18a14999763c66e87eee86c5059b45a1457d4abe7c26,11-267,11-267,True
94b36a09ea3e3980d27900f03397587be354fc4c60c96f68077ae7a057960064,11-748,11-748,True
e82a74ad773a07a3fd086fc31b5d3da6b3447581571a1469563097b34f09fb78,14-1284,14-1284,True
295d53eef4fb367bc641995511a4c36b95ded6662a73364349627cfb28daf834,11-372,11-372,True
d28b4d0cd2ef75e5e65f779cd41dd0922b71a1bd04916beeba5922d8693c53ed,14-1009,14-1009,True
bdcc3b9ad5fab534c57ec2434f0fede78367e39feb28566a684f6cf4cae5c377,9-954,9-954,True
3c79f1893473a6eb78eebdbbd38987d1bd430519f24491b0e792abfc639bf53a,14-762,14-762,True
ddc88b25f96d7c65113fc3670acdec4aa57d1cf0c0650755bb65ed6983bc6157,10-73,10-73,True
a8160d634a0cad9492b597a0920630a11d12de5fd42e63eb65c99c88352b335e,800,800,True
bc0117eb8ae6f7c86d6f6c55388bca383051a65fa778b76176f2f478e902f71d,11-306,11-306,True
29718bbabd7aa8341c2e5ea54377a6b5346e32b6869eef39062bf829ad7f10d9,11-608,11-608,True
89d9be3131f25e34e7106ba949bcf15c9ee660a4b29e58102f965b7a6a85647f,12-594,12-594,True
627724685a4034c2810c12ad591378e1c7359d8f99fc70cfaba0b8585d9f18e9,12-665,12-665,True
73728e2602428fb5c560eb3db4c892e07f19593d9bf12691abc95590bb254c27,12-991,12-991,True
aef3352eaadaa7eb27525041fa02281e82c2edf224fbd38e4a586fa7b282578e,7-282,7-282,True
a866336080c33565394a56adb08a05d03c90dc95b88e74d090ca1b5ff68117a7,10-447,10-447,True
3d7512408107aa0ca215555788df1a043aa9ccb75ca9e45dc8547d74a33c8d46,13-788,13-788,True
73ea232d743f8e70121c4b3d113c22bacc3acbd993508b78bb50832409ab98cd,11-350,11-350,True
e0df4606a2bddddbc4fab77af836a53a38b56d4a533d2dc1cda3ce89c7a593d7,10-236,10-236,True
049e4bf4028d43717cab9fe6a3a97f8e15b7478a0dc1202b8144368a1cd25fe1,9-773,9-773,True
