dataset,group_id,fold,n,members
obqa,obqa_b244beea4180dcf7f4cb,4,1,10-863
obqa,obqa_332565ca5e7d0f3bd0ad,0,1,13-200
obqa,obqa_9bee1c87c2775eb1263a,1,1,10-9
obqa,obqa_d0bf136224e914950ea7,2,1,13-413
obqa,obqa_e745682d6ae7f2505f26,3,1,12-10
obqa,obqa_d448930e765995391286,4,1,7-666
obqa,obqa_1c291a2776aa6f47e4e5,0,1,12-149
obqa,obqa_f20b255c358b0c44e6b6,1,1,8-347
obqa,obqa_58aa198a3ee496d3f70b,2,1,10-802
obqa,obqa_7b0edfbd6cf2322b9187,3,1,14-169
obqa,obqa_44f2ba40ec8370849773,4,1,9-128
obqa,obqa_2cda54182f5ccb99cead,0,1,873
obqa,obqa_954356152792bb86b03a,1,1,13-912
obqa,obqa_eb4917ca261874b8887c,2,1,14-998
obqa,obqa_b73ec20fea2263d1ec47,3,1,14-1326
obqa,obqa_cf08ff7050126e93bf10,4,1,10-731
obqa,obqa_dedd4b738993624818c0,0,1,11-750
obqa,obqa_0ba80d33b82cf3e7c09d,1,1,14-686
obqa,obqa_4811275827d099c826d3,2,1,14-330
obqa,obqa_3ec5da6e8316b0e70472,3,1,14-88
obqa,obqa_ff4210ba8ea5b5bbb5bd,4,1,14-17
obqa,obqa_e6b1672131f35fe49f8f,0,1,12-434
obqa,obqa_0989014da58e4c2f7dfb,1,1,9-841
obqa,obqa_4d4c7fef3404eb308bed,2,1,12-903
obqa,obqa_ee5a24467f2964ec8baa,3,1,11-197
obqa,obqa_f1b6b8a11d1d22bd7ba1,4,1,10-449
obqa,obqa_2c74b06716e794ed3900,0,1,13-474
obqa,obqa_4a1afef9be11ba62a86a,1,1,14-551
obqa,obqa_b01f14cf98d6f6dd882a,2,1,12-94
obqa,obqa_3e10c8f87d828311070b,3,1,13-204
obqa,obqa_a9a92a66e923aacbc2bd,4,1,7-405
obqa,obqa_103ae3759fdaf581eb9f,0,1,14-1297
obqa,obqa_62fafd248b80d2840d87,1,1,9-295
obqa,obqa_68ec9c814d0cc212f640,2,1,11-83
obqa,obqa_d839e63146a07ecf95de,3,1,10-582
obqa,obqa_76ed7ed0be572547a438,4,1,14-466
obqa,obqa_6ada496850fb2d5969b0,0,1,10-56
obqa,obqa_8d702df06d5fb5cb5d3d,1,1,12-328
obqa,obqa_ef803a233e6eb29fcd88,2,1,7-293
obqa,obqa_9ff5bb33c8bd299a82b6,3,1,14-1323
obqa,obqa_3efa1c3c6f3aa7dd0354,4,1,10-357
obqa,obqa_95b63a2053ec637ded58,0,1,12-1140
obqa,obqa_1d3855c3f130e6519841,1,1,7-178
obqa,obqa_ed09115a4eeac5d1c7dc,2,1,12-643
obqa,obqa_f722f0bcd62791312481,3,1,1766
obqa,obqa_9f3dd030f4e71f358957,4,1,7-1029
obqa,obqa_d6e7b8d63f1cb9c9f212,0,1,14-1106
obqa,obqa_beff8d31bd1e3cbb8bf4,1,1,12-23
obqa,obqa_6fbc662851d5dd8d66d1,2,1,11-18
obqa,obqa_f54691f91b79452efa57,3,1,10-796
obqa,obqa_a33bbdfc8f51d2cfa477,4,1,14-528
obqa,obqa_19ac6fedfc69a26a0e88,0,1,10-1131
obqa,obqa_795a94c0357fae9bb0f5,1,1,9-1121
obqa,obqa_bef45edc7a6480f9c8ca,2,1,14-1147
obqa,obqa_0a1fa566263836c14c61,3,1,14-1413
obqa,obqa_d5c06f59591abedf0879,4,1,814
obqa,obqa_54de9c6b44d3ff629c5c,0,1,10-15
obqa,obqa_6cd54fb0fc7fd63a8c68,1,1,10-493
obqa,obqa_98f744245e06f0ee6ba3,2,1,1269
obqa,obqa_02838321fe557bc7bdb2,3,1,11-326
obqa,obqa_aa5fc63b9bcceff98173,4,1,8-99
obqa,obqa_49c60cd2847d2102ce9a,0,1,10-1218
obqa,obqa_96f516ed2e50eb4218e9,1,1,10-234
obqa,obqa_4a86a2b99ca51d491d0f,2,1,14-1273
obqa,obqa_1b368b684a3bf3b4e479,3,1,12-1006
obqa,obqa_1fde1e1905d0aa165096,4,1,12-733
obqa,obqa_a06b51d5b1ad6afc43a9,0,1,10-1017
obqa,obqa_0a31cd1444dcf5cae59b,1,1,14-396
obqa,obqa_8159d727a9542e401bf4,2,1,12-683
obqa,obqa_3f33ac3e859f9bd5bf25,3,1,848
obqa,obqa_5b945086ab762e0b5d80,4,1,10-61
obqa,obqa_83706daa19d96f58ecce,0,1,11-132
obqa,obqa_dcdec645b7e039865607,1,1,10-420
obqa,obqa_4c32185e6305991551c6,2,1,10-1187
obqa,obqa_0e83047707a9d14ecb9b,3,1,14-1412
obqa,obqa_04d00020a329d3815495,4,1,12-1171
obqa,obqa_51844ac13b379f7bd3c8,0,1,14-608
obqa,obqa_f2ba791b9012ee6df908,1,1,10-930
obqa,obqa_c1fce566e68e8c9a75b6,2,1,1163
obqa,obqa_0399823e6bfecc8b86c1,3,1,13-319
obqa,obqa_90fb10e6d5d5c4601098,4,1,1875
obqa,obqa_1d9772ea259d121c6e0d,0,1,12-363
obqa,obqa_c5ca7c88ff8a8af67e53,1,1,14-1015
obqa,obqa_cd6181a5435809cc5676,2,1,10-368
obqa,obqa_efe0a8c352c8a2090169,3,1,14-285
obqa,obqa_2d16e968fb47e589db58,4,1,10-1016
obqa,obqa_4cb138eae49142c746b5,0,1,11-36
obqa,obqa_432311d974a31d0d0e4d,1,1,14-1289
obqa,obqa_35e7ea169b0aa4ccaf43,2,1,10-742
obqa,obqa_ce75b2338499b220d3ed,3,1,828
obqa,obqa_60b63338453ef5f53d94,4,1,12-399
obqa,obqa_08acb3415d8fd903eec3,0,1,10-1001
obqa,obqa_ed5999dd8193dd3ccf58,1,1,10-436
obqa,obqa_4b879ae2ff937138c196,2,1,14-413
obqa,obqa_2fd5247b4302a81fe1b9,3,1,11-432
obqa,obqa_11f148d4f9ec8180f5aa,4,1,7-224
obqa,obqa_d1c1300df92139d5dab2,0,1,14-645
obqa,obqa_0c10e4ea9dc648a2718a,1,1,10-812
obqa,obqa_a6c6e1465860be316a17,2,1,799
obqa,obqa_1558638f36aa8d88ae2b,3,1,7-285
obqa,obqa_90fe549df4b488473ff4,4,1,13-922
obqa,obqa_977d138410e905f4c645,0,1,14-642
obqa,obqa_e2f8b167fd3ae1293cee,1,1,13-323
obqa,obqa_c2a91045700b3605012a,2,1,11-752
obqa,obqa_9e296919d573400fc0cf,3,1,12-1055
obqa,obqa_9425b690801dc23ce5b2,4,1,12-361
obqa,obqa_4583b519dd340c35a1c9,0,1,8-103
obqa,obqa_35e0921c02b5d1e14243,1,1,12-463
obqa,obqa_9d4136fae500cbd6b038,2,1,10-1214
obqa,obqa_a4f33f21dd3e0c3070a0,3,1,12-583
obqa,obqa_d6b1d765b21926156671,4,1,13-859
obqa,obqa_2b60360315853db697eb,0,1,12-1026
obqa,obqa_7c88200dda0131551061,1,1,10-829
obqa,obqa_1cbc385e9e8be4b8d531,2,1,13-167
obqa,obqa_e2c649186eeeef4e0b86,3,1,10-621
obqa,obqa_4a63f7d6f83a293355f0,4,1,14-118
obqa,obqa_325353ddc4f70bc03fd4,0,1,1159
obqa,obqa_3ebc2a3352183911386e,1,1,12-611
obqa,obqa_b1dd44b360c0a53fffcb,2,1,10-919
obqa,obqa_51385dfe5913b363efdf,3,1,8-184
obqa,obqa_019556a5bf49c7791680,4,1,11-323
obqa,obqa_b4c1d7663e9d99845cd5,0,1,14-391
obqa,obqa_18763c6f570ea64a0333,1,1,10-167
obqa,obqa_0fc401bdff80806b445e,2,1,14-944
obqa,obqa_cce21d1df90395462f3a,3,1,8-212
obqa,obqa_851608118ea09d82f8ca,4,1,10-180
obqa,obqa_f7576a6df9752e1c2466,0,1,7-273
obqa,obqa_f3fc5a982fefec8c837c,1,1,7-1049
obqa,obqa_360d3e221a9e159ddbb9,2,1,9-344
obqa,obqa_59e594fc577d04c1dfb3,3,1,13-724
obqa,obqa_df88019cf409b9d52b44,4,1,14-234
obqa,obqa_295bd37cc5c7e467cd64,0,1,14-816
obqa,obqa_744b2074c70f0398ce5d,1,1,7-474
obqa,obqa_f16249c263f68fec0de5,2,1,10-324
obqa,obqa_ed400d6225d7a3a66949,3,1,10-316
obqa,obqa_6b13b3205b64abf34004,4,1,9-1171
obqa,obqa_7d7a4ee13b1f4b12a696,0,1,7-363
obqa,obqa_954983c424e54e4f8249,1,1,10-631
obqa,obqa_90e1ecf09b573cfffbd8,2,1,14-265
obqa,obqa_42bf4d5d9fcc02bfda4e,3,1,14-879
obqa,obqa_c2687385047b8edadc7a,4,1,10-132
obqa,obqa_c38b4e1f237307a3efe8,0,1,413
obqa,obqa_14472d76a6962cd03b87,1,1,7-783
obqa,obqa_6c5ea7c05ddc3a354de7,2,1,1378
obqa,obqa_c6ff7bc21d7141a2bc0b,3,1,13-926
obqa,obqa_19c394c7d5e4b24055fc,4,1,12-930
obqa,obqa_e08f8fe240de5f1f6cc8,0,1,14-884
obqa,obqa_1cb72c717c8e0a2328cf,1,1,11-538
obqa,obqa_2fb10a03a915e363eb17,2,1,10-1113
obqa,obqa_35165edc88726a4f76d2,3,1,12-807
obqa,obqa_8c9fcf0119b8e2ae2fea,4,1,1929
obqa,obqa_376178d07a5ae9ab8c8d,0,1,8-461
obqa,obqa_9981b4dcbed8c1957688,1,1,7-409
obqa,obqa_4c0a0e8e262ba20a6630,2,1,12-856
obqa,obqa_ab556879cc6f82310d45,3,1,13-440
obqa,obqa_3004d69f580865ac69fd,4,1,7-447
obqa,obqa_9b3d25f82ea696d07d19,0,1,14-1043
obqa,obqa_e21a702b78ab3f198918,1,1,10-1198
obqa,obqa_827a5f5fbe648603c7d7,2,1,13-31
obqa,obqa_b217c9eb27a02284c0ba,3,1,7-612
obqa,obqa_be1ffb28c417dfe9b480,4,1,11-273
obqa,obqa_5b2258fdebd48a484d8c,0,1,13-853
obqa,obqa_fab415644f000b07f298,1,1,401
obqa,obqa_1d89956c0b46b529a3e8,2,1,14-1111
obqa,obqa_e01737d3ff5e4e4b9e29,3,1,13-34
obqa,obqa_3318ea13fe3a68802c7d,4,1,8-433
obqa,obqa_2e09bc49c3a622ff7b47,0,1,9-1195
obqa,obqa_bc3008482eb995e13086,1,1,12-608
obqa,obqa_1fa37394d6a37452e12a,2,1,12-655
obqa,obqa_5cd5942459e588de48a9,3,1,12-870
obqa,obqa_72277587a46f89f35350,4,1,10-1156
obqa,obqa_b6ca482d7f2a95b7fc80,0,1,13-972
obqa,obqa_df31ed7b1e1402f879c6,1,1,12-1010
obqa,obqa_8c4e781c7b7f720657b2,2,1,13-692
obqa,obqa_8ecf8d08c848972bf081,3,1,9-928
obqa,obqa_48dec6ce32bef3bd7ae8,4,1,14-1420
obqa,obqa_a4f7242c5bdcac20d877,0,1,7-337
obqa,obqa_5354fd12427a8c4e5c03,1,1,13-47
obqa,obqa_94754ab8905602c0376b,2,1,7-975
obqa,obqa_6e6fb07b25c883647773,3,1,11-724
obqa,obqa_992b6de02147167a0a6d,4,1,12-1109
obqa,obqa_285db711391b61bac360,0,1,13-778
obqa,obqa_ea55dc0d76844d2bf52d,1,1,405
obqa,obqa_f4eaabd6442986d12637,2,1,10-586
obqa,obqa_4e912833365f5cc4b473,3,1,14-1478
obqa,obqa_a2dd0f193081bf867417,4,1,9-233
obqa,obqa_c130ffe01f55aeb261f3,0,1,14-805
obqa,obqa_f08c76f2e318d3f7c809,1,1,10-74
obqa,obqa_51afbf44ecbe882d96c2,2,1,10-82
obqa,obqa_c232d741aefcc7c2de01,3,1,204
obqa,obqa_c633a9a0da8a6a24dd4f,4,1,12-822
obqa,obqa_f04c89c0bb5bc3084b4a,0,1,11-187
obqa,obqa_2f93fb7b65bb49518a11,1,1,12-712
obqa,obqa_83b9cb194388dc9eeba8,2,1,11-25
obqa,obqa_87868d689be9bbf8bd39,3,1,14-711
obqa,obqa_3d0ff305ae516fe14c9c,4,1,1885
obqa,obqa_eeaab53d0089869c2e1a,0,1,10-1108
obqa,obqa_a17ffe53aa5d807f4b62,1,1,12-697
obqa,obqa_f359d137f6ba765ddfd1,2,1,10-824
obqa,obqa_48f7085964bf18398d03,3,1,13-697
obqa,obqa_e0609f0a84a4a5b53b7e,4,1,14-659
obqa,obqa_07119bc98e7f9f353e11,0,1,14-212
obqa,obqa_7109beb2df8bb590525a,1,1,12-188
obqa,obqa_366515a19c24f99108dc,2,1,14-821
obqa,obqa_6951cb62c50fc1be5648,3,1,9-616
obqa,obqa_0793745875f1a75cab8e,4,1,7-883
obqa,obqa_5f5c9c4be3b5d116f9c3,0,1,14-826
obqa,obqa_6fb3476e5de5c88dd2d5,1,1,12-865
obqa,obqa_a2aae44f7ee0d3a777e6,2,1,9-848
obqa,obqa_82316699166c1b8a5ea2,3,1,14-1492
obqa,obqa_595fee9b8e4b5f9c73fd,4,1,12-537
obqa,obqa_7b184e2ab2cefa3a1025,0,1,11-682
obqa,obqa_9bcb4a418448cd8d7bb5,1,1,10-734
obqa,obqa_61539941f70e2b47125d,2,1,12-701
obqa,obqa_a46aac3e0b3ef39d0850,3,1,13-387
obqa,obqa_1a58ec6dd62e85771ae8,4,1,10-868
obqa,obqa_425a375edecff51faa06,0,1,12-748
obqa,obqa_735d13751692ea3bd045,1,1,741
obqa,obqa_2b8faa54a3af96f4335a,2,1,14-324
obqa,obqa_5d4e1edf9ba1006385d9,3,1,10-1115
obqa,obqa_b6a2ec7e904b02ab5220,4,1,14-625
obqa,obqa_44e0dd817d2ec45e24f7,0,1,14-72
obqa,obqa_16a9ed1dfeca17eb8193,1,1,9-309
obqa,obqa_b3d4255c356d8b6651b1,2,1,14-571
obqa,obqa_ea49e8aad9f8daa5c484,3,1,9-733
obqa,obqa_ece1904893b732c18c7a,4,1,13-988
obqa,obqa_f87b5eb0672618fa261f,0,1,14-825
obqa,obqa_1ff412f48a95246c2a4b,1,1,14-980
obqa,obqa_e844862607d0b40f7bda,2,1,12-476
obqa,obqa_084c8790b5806e3eb3e0,3,1,9-403
obqa,obqa_ae9f57e75e9e0d2a3944,4,1,11-571
obqa,obqa_7fb1a12d8912a30f00c4,0,1,12-641
obqa,obqa_31475c1f6654f91d2d77,1,1,12-227
obqa,obqa_4dbdc931fa2b9d8d96a1,2,1,12-896
obqa,obqa_3e4e38de049c3c352e15,3,1,12-12
obqa,obqa_c8615af335aaeda85c5f,4,1,76
obqa,obqa_efeada334a56e3d7cbd7,0,1,9-28
obqa,obqa_4cbff05cb6a86e2d2603,1,1,10-20
obqa,obqa_36dda9babcb8ecc4c984,2,1,168
obqa,obqa_05bb64989070e866f04c,3,1,11-385
obqa,obqa_4c2d6fedf03ed745bc94,4,1,11-623
obqa,obqa_0277056e50ce4ae421d7,0,1,11-627
obqa,obqa_76f330448b3a39df80e0,1,1,10-237
obqa,obqa_e34f3e7383eb81381a10,2,1,10-304
obqa,obqa_205cb14f08e424a3fc4e,3,1,1228
obqa,obqa_a2fd2a036a7240c29f73,4,1,12-346
obqa,obqa_9650e31c78a7a0b14817,0,1,7-1168
obqa,obqa_ac57093e293d23bd34bb,1,1,10-667
obqa,obqa_781bb307364e3d5e2f1f,2,1,9-102
obqa,obqa_8ff752480d21e0488aec,3,1,14-1045
obqa,obqa_09aa20bfc88ca233e8a7,4,1,13-163
obqa,obqa_2c7d207d38e3a58ab5e2,0,1,12-991
obqa,obqa_11dcd6110f6f72436293,1,1,9-307
obqa,obqa_156219c58507fad67aeb,2,1,10-652
obqa,obqa_4e5ee817534aabd6fe16,3,1,13-833
obqa,obqa_8838f83279174d1cb138,4,1,12-464
obqa,obqa_41030df78edee0b97956,0,1,14-876
obqa,obqa_0779b45fdd316c5da403,1,1,10-126
obqa,obqa_dc9dd2966f07a067ee37,2,1,8-95
obqa,obqa_9e845ef46b36759a5ec6,3,1,11-29
obqa,obqa_c353b0843f6ddc6a48f4,4,1,334
obqa,obqa_65feeb3904fca1732c90,0,1,14-1407
obqa,obqa_ae0f21712b31de686166,1,1,12-603
obqa,obqa_a4f533be30ef0ed0f714,2,1,14-140
obqa,obqa_4220d9bc37b69565057e,3,1,13-807
obqa,obqa_0a8a3180d53cc2840cc8,4,1,9-512
obqa,obqa_7c7dc0bbb3eaa5ea960d,0,1,14-1457
obqa,obqa_0b8de1d9a4819253d830,1,1,9-770
obqa,obqa_081c3f0d56fc3ab22fbb,2,1,14-184
obqa,obqa_46e7272afb14404bd48d,3,1,13-814
obqa,obqa_94443d39581937ff2afe,4,1,8-40
obqa,obqa_03f3bae6b27927e26c74,0,1,11-405
obqa,obqa_72829b9ea8a597721b00,1,1,12-876
obqa,obqa_2715993f12411dfd872f,2,1,11-107
obqa,obqa_fb6d191a10231ee24efc,3,1,13-825
obqa,obqa_5bac8808a0ba981ee123,4,1,10-238
obqa,obqa_206f5ba701f497223a32,0,1,12-742
obqa,obqa_82f04ac3c2a1e7c9629a,1,1,9-451
obqa,obqa_cee711b6f6be00526e9f,2,1,9-373
obqa,obqa_b59eee0bf79cddc4a3d9,3,1,12-382
obqa,obqa_a8618d0bb8faa17a987c,4,1,9-1095
obqa,obqa_1144a2e0b3c6766632fb,0,1,13-751
obqa,obqa_a361db09b2b874ac2f70,1,1,7-76
obqa,obqa_6a5f7fb8a945911e7685,2,1,14-1257
obqa,obqa_535bc110c5bfa6b6a19a,3,1,11-509
obqa,obqa_6993be52f95c4bfa4d5a,4,1,11-248
obqa,obqa_d4f5afb28a372110e118,0,1,118
obqa,obqa_7b0a42ae4218ee389a87,1,1,14-1440
obqa,obqa_5de5880510e9b3f1cb20,2,1,10-139
obqa,obqa_e28b154a2c1c5b8f98be,3,1,12-1033
obqa,obqa_5e7c46a1b7c4616f9106,4,1,14-568
obqa,obqa_b0fe15a29ceed0f73bb9,0,1,1575
obqa,obqa_93103eb81ec7cab2a24f,1,1,14-382
obqa,obqa_0575b0cfc758ca936f40,2,1,12-142
obqa,obqa_f4072c09ed0398de26c4,3,1,12-1096
obqa,obqa_c82f95aff9e0029b0f10,4,1,14-951
obqa,obqa_b6d87414f820c08768c5,0,1,9-885
obqa,obqa_3c7da913972967e1e6fd,1,1,14-925
obqa,obqa_7820af11f67da16a4fcc,2,1,14-151
obqa,obqa_e0b76a52374a41a990ec,3,1,13-904
obqa,obqa_2d38107456eacb9952c0,4,1,13-796
obqa,obqa_4f49b9732a2939ddb1da,0,1,10-342
obqa,obqa_7542c99f24eb6b61a0ea,1,1,14-1025
obqa,obqa_af1724d10695ae6760f6,2,1,12-394
obqa,obqa_be2e975d464b4fbe3bf3,3,1,13-519
obqa,obqa_083861182b31dd16cd34,4,1,11-100
obqa,obqa_b68920f02f4984ab709f,0,1,12-935
obqa,obqa_aad54f0d84a236dc0c89,1,1,9-442
obqa,obqa_0f30fb900318c705f680,2,1,11-383
obqa,obqa_7231ef476b5573e3e717,3,1,7-167
obqa,obqa_08dea237cbdbdbad0761,4,1,9-601
obqa,obqa_e15cde41b438297e0794,0,1,12-1168
obqa,obqa_9da6564a7225a666e58f,1,1,8-145
obqa,obqa_2d36c96cb084c91ee64e,2,1,9-827
obqa,obqa_69c6eadf60f63463213d,3,1,14-1241
obqa,obqa_a99787e034238f7c0364,4,1,10-382
obqa,obqa_93e515e8cfefa8a54792,0,1,12-638
obqa,obqa_51e25db9115c20781e2f,1,1,11-308
obqa,obqa_b18b69354eaacfd6f3e8,2,1,14-47
obqa,obqa_d6d0b79dbbeead87e0d7,3,1,14-952
obqa,obqa_388cc24f19fbc3e370f8,4,1,14-540
obqa,obqa_c2a32a794a602d6fa7b1,0,1,11-144
obqa,obqa_e174ae13919ef57b13c4,1,1,13-403
obqa,obqa_6f245446f46bbae9461c,2,1,13-683
obqa,obqa_ad416a4fe94c3a641dfb,3,1,10-322
obqa,obqa_527b20c119ad570e0625,4,1,12-160
obqa,obqa_2723699cf2344009916b,0,1,13-27
obqa,obqa_1734dde1912a05e0d4a0,1,1,14-664
obqa,obqa_68c40f934133075af6e0,2,1,579
obqa,obqa_7417a6b29cbe6239d162,3,1,14-178
obqa,obqa_ad2c2dd27492d7738979,4,1,11-662
obqa,obqa_4dc11dea43eec4262c9c,0,1,14-891
obqa,obqa_9393b668f6b0f0079924,1,1,12-629
obqa,obqa_345bfab661315edb37b6,2,1,10-26
obqa,obqa_5f85a297a9009916d4ba,3,1,11-109
obqa,obqa_e7e405783a2878a3b7a3,4,1,11-47
obqa,obqa_ae33e68288116ecabf18,0,1,12-898
obqa,obqa_a83a55490288735963ef,1,1,9-608
obqa,obqa_91238fa232babad5d779,2,1,7-584
obqa,obqa_79dfc82bb6dda6753992,3,1,1873
obqa,obqa_58cbeb9800d6e3e93f83,4,1,12-212
obqa,obqa_f43f1dadeded789566a3,0,1,13-529
obqa,obqa_da536d41b8ac5a65dcad,1,1,14-620
obqa,obqa_13067e81e9dd686540c5,2,1,14-308
obqa,obqa_1c50dd5d9a481a265ee5,3,1,1489
obqa,obqa_35cd816084f8ce61980c,4,1,14-965
obqa,obqa_0204313c552165087668,0,1,9-516
obqa,obqa_7e8c82a6c721d964d63c,1,1,12-180
obqa,obqa_fd7a848d33c54fb4c768,2,1,10-435
obqa,obqa_70ec6240124cb8817276,3,1,13-453
obqa,obqa_2b80da537c5ece4b0717,4,1,9-997
obqa,obqa_42402591360fb61995c8,0,1,13-967
obqa,obqa_c2d5263f2c02fc6c3195,1,1,9-780
obqa,obqa_fb3a5ff8b18ce742d002,2,1,14-1276
obqa,obqa_c5872b4022bc4f4cdbdd,3,1,10-896
obqa,obqa_24c57634dc6f6beea92f,4,1,11-88
obqa,obqa_259392a43da9a61c4902,0,1,9-864
obqa,obqa_5138ca9ca72c9175fa38,1,1,10-657
obqa,obqa_dc5b70586eef83b924ef,2,1,10-439
obqa,obqa_6da812626c0527b35cee,3,1,12-667
obqa,obqa_53ad93bc118c39cf874b,4,1,12-124
