dataset,id,source_row,group_id,fold
obqa,10-1198,103,obqa_e21a702b78ab3f198918,1
obqa,10-1199,104,obqa_0b3034aa46948599cb71,4
obqa,10-120,105,obqa_17801f4719a6239596f7,0
obqa,10-1200,106,obqa_29fc73c47d03fc04d2a9,1
obqa,10-1201,107,obqa_1f7e23cb8db033966492,3
obqa,10-1205,108,obqa_c59e7eec3f9952a0e9e7,1
obqa,10-1208,109,obqa_9138c24012be7010380d,4
obqa,10-1209,110,obqa_597e68111b37ea0d9b53,4
obqa,10-1210,111,obqa_05750e311aefe88e76bb,1
obqa,10-1211,112,obqa_a342ea199cfa0d0ef5d6,4
obqa,10-1212,113,obqa_2d99cd9b6a9902479737,1
obqa,10-1214,114,obqa_9d4136fae500cbd6b038,2
obqa,10-1218,115,obqa_49c60cd2847d2102ce9a,0
obqa,10-1219,116,obqa_021ea21393605bd1384c,4
obqa,10-122,117,obqa_fce5ab3d9139117f303f,3
obqa,10-1220,118,obqa_39ccd79fc5c4f8d9be1d,1
obqa,10-1221,119,obqa_e55c62eb260c27de8c3e,3
obqa,10-1226,120,obqa_843ec51c9c764da1582e,3
obqa,10-123,121,obqa_eaae6c281dc5b2de25d1,3
obqa,10-126,122,obqa_0779b45fdd316c5da403,1
obqa,10-129,123,obqa_eac2c4f6f64521141455,4
obqa,10-13,124,obqa_0418870120f1b00977ec,3
obqa,10-131,125,obqa_cfac622709c8d22e85a3,2
obqa,10-132,126,obqa_c2687385047b8edadc7a,4
obqa,10-135,127,obqa_a0c58488fee880bc3485,3
obqa,10-136,128,obqa_fe42a0156dcccbe8ab0e,4
obqa,10-137,129,obqa_25706927f1164b351ecc,2
obqa,10-138,130,obqa_04b757617709a06c067a,0
obqa,10-139,131,obqa_5de5880510e9b3f1cb20,2
obqa,10-14,132,obqa_7e0a0443d559c1a869e6,2
obqa,10-140,133,obqa_960b3d0fc1c2a8eefa6c,3
obqa,10-141,134,obqa_18a9454161c1bade88a7,2
obqa,10-142,135,obqa_dec529779997d28639e4,1
obqa,10-143,136,obqa_e8b3e745a6ba8b992bed,0
obqa,10-144,137,obqa_25ace1fc5e9ff26d317a,4
obqa,10-145,138,obqa_0592d16b859fb354f150,3
obqa,10-147,139,obqa_78a3837923df403c72b4,0
obqa,10-15,140,obqa_54de9c6b44d3ff629c5c,0
obqa,10-152,141,obqa_faf17b8170382508ef9f,2
obqa,10-153,142,obqa_9332c979012085471a03,4
obqa,10-156,143,obqa_6ccaf95895dac64f3cca,0
obqa,10-157,144,obqa_5b6586fd0352d22171e0,2
obqa,10-158,145,obqa_73c847621f36a7370521,0
obqa,10-159,146,obqa_deedf7ee66c2a1faca1f,3
obqa,10-163,147,obqa_7557232204a770e809b2,1
obqa,10-167,148,obqa_18763c6f570ea64a0333,1
obqa,10-168,149,obqa_2f651168ce0bca954753,1
obqa,10-169,150,obqa_e9d0cdc980f2527c832c,4
obqa,10-172,151,obqa_8aed1b4c625a025a25d9,1
obqa,10-173,152,obqa_051f100c4f73687ac156,4
obqa,10-175,153,obqa_bc646ea973cf325ee02f,0
obqa,10-177,154,obqa_ff23b326f73a099b705b,1
obqa,10-180,155,obqa_851608118ea09d82f8ca,4
obqa,10-181,156,obqa_9f9eaf8f73ec6bc5c43a,4
obqa,10-183,157,obqa_c29f50f777aa9cfda524,0
obqa,10-190,158,obqa_677aaf339b90439165fb,2
obqa,10-193,159,obqa_8e7838807d93167c17bb,3
obqa,10-196,160,obqa_7204d0d4147e1de05d83,2
obqa,10-197,161,obqa_fb75947712025e343f96,1
obqa,10-20,162,obqa_4cbff05cb6a86e2d2603,1
obqa,10-201,163,obqa_3d96659d1cfc6cdd6f9b,3
obqa,10-202,164,obqa_38c9f2108ebf9ad9afb5,0
obqa,10-204,165,obqa_43a0ca3325b88ec0522f,3
obqa,10-206,166,obqa_8bbdae9bf73f3f2e3836,2
obqa,10-21,167,obqa_7f99089b31b6e26ceccd,4
obqa,10-210,168,obqa_6f87ec72cdbf8c2ce910,3
obqa,10-212,169,obqa_82b054cd2d0b5c86ddce,3
obqa,10-219,170,obqa_0980e6f09fd26b0d5d97,0
obqa,10-22,171,obqa_9e4fea9302be1392df7d,1
obqa,10-220,172,obqa_0f9af0431f92d2a1a0af,3
obqa,10-221,173,obqa_be3c7b1443672aa95f32,0
obqa,10-223,174,obqa_f32465091920670f6c6e,3
obqa,10-226,175,obqa_2a88238606cc3b0bab82,1
obqa,10-227,176,obqa_a497fd41ef2d7b050014,0
obqa,10-23,177,obqa_17f6b8b75cb3d91508c8,2
obqa,10-230,178,obqa_5d61e6a2820653b27f87,4
obqa,10-231,179,obqa_fddd2b74f0e00960136c,0
obqa,10-234,180,obqa_96f516ed2e50eb4218e9,1
obqa,10-236,181,obqa_31533a0c2f43f720732e,2
obqa,10-237,182,obqa_76f330448b3a39df80e0,1
obqa,10-238,183,obqa_5bac8808a0ba981ee123,4
obqa,10-244,184,obqa_461ca6209b113c677d36,4
obqa,10-247,185,obqa_07e542a0f0f1766dc1bb,3
obqa,10-250,186,obqa_594bf0c29ec36ff27cff,3
obqa,10-252,187,obqa_92610381d5ab20b39f17,1
obqa,10-253,188,obqa_f3440010648d949ea84f,3
obqa,10-257,189,obqa_825944cb3513ee392d8d,0
obqa,10-258,190,obqa_bccace7961d0ec89f5c6,4
obqa,10-26,191,obqa_345bfab661315edb37b6,2
obqa,10-262,192,obqa_a19938940a950e64ebcb,2
obqa,10-265,193,obqa_33ea7973b719cf791b95,0
obqa,10-267,194,obqa_2db5884cfd34919622c0,2
obqa,10-268,195,obqa_708c17da15dfa7f8cf9c,0
obqa,10-27,196,obqa_c83d5eb5d96887517dbc,4
obqa,10-271,197,obqa_24fe203931f762bde1b5,0
obqa,10-272,198,obqa_61e000508366c431d826,1
obqa,10-277,199,obqa_1717af96f13bb4862978,1
obqa,10-278,200,obqa_8643ce911ba5caea22d8,3
obqa,10-279,201,obqa_9a427678b7285fb223bb,4
obqa,10-282,202,obqa_c5c881793afd96b6ea86,0
obqa,10-283,203,obqa_2ec7213372cd6d9b714e,4
obqa,10-287,204,obqa_13cf765e832c48191070,0
obqa,10-289,205,obqa_fbe525b9965c65dba0f9,4
obqa,10-290,206,obqa_ada380e439e2d8f051e4,0
obqa,10-292,207,obqa_d03bcbad7f754fd2134e,3
obqa,10-296,208,obqa_f2ea3c29341b3a6fdb46,0
obqa,10-297,209,obqa_ec05ec787ca6452a4b1c,0
obqa,10-3,210,obqa_04c4942c348fd559fb4f,0
obqa,10-301,211,obqa_2f9e343dae040821da65,4
obqa,10-302,212,obqa_ef04be485a17959dc53f,4
obqa,10-304,213,obqa_e34f3e7383eb81381a10,2
obqa,10-305,214,obqa_a9bce1999798089a3568,0
obqa,10-308,215,obqa_73acf96ace8377a56710,4
obqa,10-309,216,obqa_7811ca4b1f8f5ecceb94,0
obqa,10-310,217,obqa_19bf6bb83b5115904576,4
obqa,10-311,218,obqa_2f79bd795b84087b1257,2
obqa,10-312,219,obqa_3083883489ae9bc68e8a,1
obqa,10-315,220,obqa_a3c9e1d35b7f3b6f7dee,2
obqa,10-316,221,obqa_ed400d6225d7a3a66949,3
obqa,10-321,222,obqa_f77c3d25177b2673957d,1
obqa,10-322,223,obqa_ad416a4fe94c3a641dfb,3
obqa,10-324,224,obqa_f16249c263f68fec0de5,2
obqa,10-325,225,obqa_26a980ffd765c398999a,4
obqa,10-328,226,obqa_50a01b592b26d5ea3933,4
obqa,10-331,227,obqa_674506ed799c01dfdc60,3
obqa,10-332,228,obqa_b02cddb939b648590514,2
obqa,10-34,229,obqa_d6b829558474f145da23,2
obqa,10-341,230,obqa_db0f025f04b6b347165a,1
obqa,10-342,231,obqa_4f49b9732a2939ddb1da,0
obqa,10-343,232,obqa_58e3e2a5911859cd2d6d,1
obqa,10-344,233,obqa_2c7dcff4adcbbe990a65,2
obqa,10-345,234,obqa_d680f9d968d3243da0df,1
obqa,10-349,235,obqa_c3f18f6dc397a17b29d8,1
obqa,10-350,236,obqa_277b4b57dabcead0669e,2
obqa,10-355,237,obqa_b06e3b04224594d81509,4
obqa,10-357,238,obqa_3efa1c3c6f3aa7dd0354,4
obqa,10-358,239,obqa_539e63e20437c55ce7a7,3
obqa,10-36,240,obqa_84a8789382174d0634de,0
obqa,10-362,241,obqa_455ffd378b93b4b69ffb,0
obqa,10-367,242,obqa_2d732d42e01dc9e15ba6,1
obqa,10-368,243,obqa_cd6181a5435809cc5676,2
obqa,10-37,244,obqa_4645634d9c9f2767e78d,0
obqa,10-370,245,obqa_39e76bd7ae61f33ae6c6,4
obqa,10-371,246,obqa_c9a8e853164efd06eb20,0
obqa,10-379,247,obqa_ae1e966fd54c97b6bcf1,0
obqa,10-38,248,obqa_8832a2903e5cc3175a2d,3
obqa,10-381,249,obqa_c87701750da13f5ac0b8,3
obqa,10-382,250,obqa_a99787e034238f7c0364,4
obqa,10-383,251,obqa_6b5238550dc2094cfe81,0
obqa,10-387,252,obqa_560abcb10ba5a9657453,4
obqa,10-39,253,obqa_022c9d2ac3f2936156f4,0
obqa,10-392,254,obqa_5cbdcdc9680a5f153407,3
obqa,10-393,255,obqa_c02db0e042c87382c83d,2
obqa,10-395,256,obqa_47422a530e436a4a0193,1
obqa,10-396,257,obqa_2b81c70ddbd8d053e47a,2
obqa,10-398,258,obqa_13004276c93c034758c3,0
obqa,10-4,259,obqa_7db6b6f3e38b8a590bcd,0
obqa,10-400,260,obqa_b86f8d3fbb9954b656e8,4
obqa,10-404,261,obqa_31e8d427ace6b5dd0f2e,2
obqa,10-406,262,obqa_a5e3ab719dee50db914f,2
obqa,10-409,263,obqa_b521d4f0919ae331fea9,1
obqa,10-41,264,obqa_57d3e6de6d5e30dec248,0
obqa,10-414,265,obqa_b4750dc4905c937005cc,2
obqa,10-418,266,obqa_ac29a283b8f09e4230fe,0
obqa,10-42,267,obqa_a00b93ee30adb34d80e3,1
obqa,10-420,268,obqa_dcdec645b7e039865607,1
obqa,10-428,269,obqa_d8de818e89eb9e0406ea,2
obqa,10-429,270,obqa_9681309a08bfee0229cd,2
obqa,10-430,271,obqa_cf23be3bc0d68a860456,1
obqa,10-432,272,obqa_553086a3b65e75dac785,2
obqa,10-434,273,obqa_0467d22318a3bc701d3a,1
obqa,10-435,274,obqa_fd7a848d33c54fb4c768,2
obqa,10-436,275,obqa_ed5999dd8193dd3ccf58,1
obqa,10-438,276,obqa_7413ee2b8879561c7889,4
obqa,10-439,277,obqa_dc5b70586eef83b924ef,2
obqa,10-44,278,obqa_f09d77c8af684bca5711,1
obqa,10-440,279,obqa_a8399479d642f6bf69f6,3
obqa,10-445,280,obqa_ab741748bcc3b5b13dcb,3
obqa,10-446,281,obqa_fe7b0fb9c8672a3534ee,3
obqa,10-447,282,obqa_1f1f3b075a9ad04521ee,3
obqa,10-449,283,obqa_f1b6b8a11d1d22bd7ba1,4
obqa,10-452,284,obqa_3053c41645d052a96617,0
obqa,10-454,285,obqa_1980cb7ce5e91f15dca8,0
obqa,10-455,286,obqa_42b627a75c111fc8f0b3,1
obqa,10-461,287,obqa_a3b3f56dc5a37408984e,2
obqa,10-462,288,obqa_1923799c71b60fc0cd37,2
obqa,10-465,289,obqa_b58f6c38befa413fa841,0
obqa,10-467,290,obqa_c11d3e8759380619508d,1
obqa,10-469,291,obqa_91bea5915070d15b7039,0
obqa,10-47,292,obqa_c49aae2cdf790fe5196e,2
obqa,10-472,293,obqa_94332b69693e2af6171a,1
obqa,10-473,294,obqa_c27c2871951b22bf88b4,0
obqa,10-475,295,obqa_3fc1c3b49aaa80c6a80b,1
obqa,10-479,296,obqa_39d031960430394ed097,3
obqa,10-480,297,obqa_53116a48228fb9d21a63,3
obqa,10-481,298,obqa_cfab02c4d5e5a14379b1,4
obqa,10-482,299,obqa_c48d8cd4105f6a1de8a5,1
obqa,10-485,300,obqa_17542f7b586c0de6de7e,1
obqa,10-486,301,obqa_581c69b6671a25f4e1de,4
obqa,10-487,302,obqa_1e94c068f155898e1978,3
obqa,10-490,303,obqa_768c9421034751afbbf8,0
obqa,10-491,304,obqa_4d1f2b13ba6ab78b48ea,2
obqa,10-492,305,obqa_458dd7d5902543df9082,0
obqa,10-493,306,obqa_6cd54fb0fc7fd63a8c68,1
obqa,10-498,307,obqa_da82e1113884bc16b9d5,2
obqa,10-5,308,obqa_19a5bb7405d2639d63e6,1
obqa,10-50,309,obqa_9ca5cf618fcffe66546e,2
obqa,10-501,310,obqa_26a03db6ca8759da79da,1
obqa,10-502,311,obqa_e9ab14bae8b79745da33,2
obqa,10-505,312,obqa_f3b906d9287b8344edd6,4
obqa,10-509,313,obqa_c21e701b43186ea31ec1,3
obqa,10-513,314,obqa_093ad128df295dc04cfa,1
obqa,10-514,315,obqa_31df4de26607b3abcd52,4
obqa,10-519,316,obqa_f1abac01557234821ece,4
obqa,10-52,317,obqa_841337095e7b7e79058a,1
obqa,10-520,318,obqa_b74181d9dfd9101e79f4,0
obqa,10-521,319,obqa_3a3999fe27e750c63ba0,4
obqa,10-526,320,obqa_daac8ee3b815a2a0314b,1
obqa,10-532,321,obqa_c93cc8e2e51d0bc0ef41,2
obqa,10-534,322,obqa_23adbfae7a57b610aa84,4
obqa,10-538,323,obqa_b57e7f6da57b0420317c,2
obqa,10-539,324,obqa_428bba824cf3fab54d93,0
obqa,10-541,325,obqa_ba2ed87c07454ebe1af3,0
obqa,10-543,326,obqa_7043bb6a93ea55504b0d,4
obqa,10-544,327,obqa_d009b5069897ec566c49,0
obqa,10-545,328,obqa_17f1e4a958b12d7d1250,3
obqa,10-546,329,obqa_ede2f5d095e1e4c68686,1
obqa,10-547,330,obqa_7b519cdd3b0ba527fbf4,0
obqa,10-548,331,obqa_8387dea5c933553c0a28,2
obqa,10-549,332,obqa_1f0e381b93fdf2e282f9,1
obqa,10-550,333,obqa_aa431d1219dde4d5af0d,0
obqa,10-552,334,obqa_25f0bbeb558c335ca597,4
obqa,10-553,335,obqa_1372406c57c062bb2081,0
obqa,10-554,336,obqa_96c4433eaf1bcefb0726,0
obqa,10-557,337,obqa_469a3b8edc37b7367327,2
obqa,10-559,338,obqa_d085da3d1660d4902d4e,1
obqa,10-56,339,obqa_6ada496850fb2d5969b0,0
obqa,10-560,340,obqa_df87ef51aa635679ce26,4
obqa,10-564,341,obqa_bae2edad9a331b2c2032,4
obqa,10-566,342,obqa_477a98860a0fb1daa9f9,3
obqa,10-572,343,obqa_eb8628b1a3e172d23a88,4
obqa,10-573,344,obqa_e060ad5cdff1efe94397,0
obqa,10-575,345,obqa_6e71509d63d40680d5d4,3
obqa,10-577,346,obqa_42de81938d79045e72f5,2
obqa,10-578,347,obqa_3786f87034ea6b64f58b,2
obqa,10-579,348,obqa_234588eb1e11e6c0216d,1
obqa,10-582,349,obqa_d839e63146a07ecf95de,3
obqa,10-585,350,obqa_da1b566e815d144cc993,2
obqa,10-586,351,obqa_f4eaabd6442986d12637,2
obqa,10-587,352,obqa_4c89d8749e8291beda21,4
obqa,10-588,353,obqa_8d725c2516885bfb492b,1
obqa,10-589,354,obqa_6ff001e9c7c7524e0cc5,1
obqa,10-59,355,obqa_451f8681ac609703dc22,4
obqa,10-590,356,obqa_402513971d33ab2cd8e9,3
obqa,10-591,357,obqa_68c291471354e78daba5,3
obqa,10-595,358,obqa_d5aa39f7cae0c2135e8f,2
obqa,10-597,359,obqa_9ea482d86cd1fe06c298,1
obqa,10-599,360,obqa_1fd4c3533c6e8404565f,4
obqa,10-6,361,obqa_10a8965d67b7b6fa43db,1
obqa,10-60,362,obqa_1707917f50b13cecb71b,3
obqa,10-603,363,obqa_7a180a20ce6c5b4c384c,4
obqa,10-604,364,obqa_3a6d0a9d49e359131313,1
obqa,10-606,365,obqa_67792ee4f89a00286bbe,2
obqa,10-608,366,obqa_1ee8df9143353c87b040,1
obqa,10-61,367,obqa_5b945086ab762e0b5d80,4
obqa,10-611,368,obqa_733bb29dae561d11e496,1
obqa,10-612,369,obqa_f234acf601de2c2cc9a0,1
obqa,10-613,370,obqa_7fa260e90f7b465bb162,4
obqa,10-614,371,obqa_f26262ed224b4aa00a8e,3
obqa,10-615,372,obqa_42a3f26cda4e95cc3a8c,0
obqa,10-618,373,obqa_36cf6f178cdf807b7f82,2
obqa,10-621,374,obqa_e2c649186eeeef4e0b86,3
obqa,10-622,375,obqa_a439924c3d27747aff1f,4
obqa,10-623,376,obqa_2998f7865f28044b43d9,0
obqa,10-624,377,obqa_def055a27e6760cef0e5,2
obqa,10-626,378,obqa_8d7a40fca15187593425,4
obqa,10-628,379,obqa_c429cedacd4e49898144,3
obqa,10-63,380,obqa_9e7b83b64395ed7cfad2,2
obqa,10-630,381,obqa_24176d19ead429d15697,0
obqa,10-631,382,obqa_954983c424e54e4f8249,1
obqa,10-632,383,obqa_fefb13e952ea2c0e8f48,2
obqa,10-634,384,obqa_d1c3745884cabf6c4a78,0
obqa,10-636,385,obqa_94fdf43d9dce780c7a9c,2
obqa,10-637,386,obqa_10af911e777696a6da41,2
obqa,10-642,387,obqa_5877bfc53cf40bdf13ac,0
obqa,10-643,388,obqa_9b6bbbcd5e63fbf8e6b1,2
obqa,10-644,389,obqa_cf5dddfe34cf124f134f,1
obqa,10-645,390,obqa_55ff8c44720a3cdcec9a,1
obqa,10-647,391,obqa_97dff6f47f5cfadcb581,3
obqa,10-649,392,obqa_609d13f63f98424ebb29,1
obqa,10-65,393,obqa_40d3d0c480a57df2a7bf,0
obqa,10-652,394,obqa_156219c58507fad67aeb,2
obqa,10-653,395,obqa_c8d2baf242d4946dce86,4
obqa,10-655,396,obqa_4bece1f82aa9f299490d,3
obqa,10-657,397,obqa_5138ca9ca72c9175fa38,1
obqa,10-658,398,obqa_4ad6f1916eca4e921270,2
obqa,10-66,399,obqa_3877a9065ed55ca008d9,0
obqa,10-661,400,obqa_4ac3dd1416e397b55b67,1
obqa,10-662,401,obqa_37334211c66fdba1b54d,2
obqa,10-664,402,obqa_193f351d090a20b57916,1
obqa,10-666,403,obqa_cb1970546b881e0787f2,1
obqa,10-667,404,obqa_ac57093e293d23bd34bb,1
obqa,10-668,405,obqa_038a25d0f17de67f8df8,3
obqa,10-669,406,obqa_027ff8ac6b407e33f906,2
obqa,10-674,407,obqa_3094b41fab4187a56a64,2
obqa,10-676,408,obqa_688be1eb2960e2c39d59,4
obqa,10-678,409,obqa_0ddf13ceb44a5e7cbd3e,3
obqa,10-680,410,obqa_452fa7ddc2999a306519,0
obqa,10-682,411,obqa_e848d7dcbdee070ad962,0
obqa,10-683,412,obqa_a31ad412f34b6d8b50f3,2
obqa,10-685,413,obqa_e8174d5d43d743b36629,0
obqa,10-687,414,obqa_501302847f6d2c2866f4,4
obqa,10-690,415,obqa_04ab115ce4bcf9b9deb0,3
obqa,10-692,416,obqa_8214f5961f6c6bbe8201,3
obqa,10-695,417,obqa_7d27194a22070baec92f,0
obqa,10-698,418,obqa_577b7926dfad94cabfe2,0
obqa,10-70,419,obqa_e498979bed413edf0d1d,1
obqa,10-706,420,obqa_5cf2ef7abe94c13e9788,1
obqa,10-710,421,obqa_4c547043040cafaf9566,0
obqa,10-714,422,obqa_8598a97e7c679b29a21c,2
obqa,10-718,423,obqa_b5639e5e5be35a0e3370,0
obqa,10-719,424,obqa_17c3714798eb78d49110,3
obqa,10-72,425,obqa_f3f3a514cf61c3623ba1,4
obqa,10-720,426,obqa_54149c1f22cb5fe3bac6,0
obqa,10-721,427,obqa_9ebf64503a7c44323be3,3
obqa,10-722,428,obqa_3a83e87d03fb5664ee9d,1
obqa,10-727,429,obqa_ad526a3bf8d279f9aabb,1
obqa,10-728,430,obqa_424748c50aa41b609f9e,2
obqa,10-73,431,obqa_fea7671f9d468512cb95,0
obqa,10-730,432,obqa_243f54b7df36f768cbc2,0
obqa,10-731,433,obqa_cf08ff7050126e93bf10,4
obqa,10-733,434,obqa_3646a58ea5b3422e0a74,1
obqa,10-734,435,obqa_9bcb4a418448cd8d7bb5,1
obqa,10-736,436,obqa_32b5c1abb9550a163008,1
obqa,10-74,437,obqa_f08c76f2e318d3f7c809,1
obqa,10-740,438,obqa_c3055927a28f42c56bd5,4
obqa,10-742,439,obqa_35e7ea169b0aa4ccaf43,2
obqa,10-743,440,obqa_2d40f936bab64b397198,0
obqa,10-744,441,obqa_c489cf25e40bac4bfd4a,2
obqa,10-746,442,obqa_d0a7edc8cbeae854323e,2
obqa,10-747,443,obqa_5e0f53ec6fc1ba62e6f5,1
obqa,10-753,444,obqa_8338df264c900fd6047d,1
obqa,10-758,445,obqa_405cefbdaf5893908c49,0
obqa,10-76,446,obqa_f146b01a3e8465b133d3,4
obqa,10-761,447,obqa_31bcec9fb5f4ad1abafc,4
obqa,10-764,448,obqa_76c79620c8c91cc450e6,1
obqa,10-767,449,obqa_58189781492ad53d8491,3
obqa,10-771,450,obqa_d34802e1fb5368f1d085,4
obqa,10-772,451,obqa_d1c0e27a92acb2fea273,0
obqa,10-774,452,obqa_2256c345e0ee2e092c4f,3
obqa,10-775,453,obqa_264fea4c80814152d96c,4
obqa,10-776,454,obqa_1d62341252d3150a7a98,0
obqa,10-777,455,obqa_cb512345f41c137f804e,0
obqa,10-778,456,obqa_04dcef28a0ae27bda580,2
obqa,10-779,457,obqa_d84cf54cb5533459fb9f,1
obqa,10-781,458,obqa_989382220e25f5df842a,1
